Sl No.,Zone,Name of Lake / Taluk,Village Name & Survey No.,Acres,Guntas,Other info
55,Mahadevpura Zone,"Challakere  Lake /Easttaluk",Challakere -85,38,5,Developed lake
56,"RajaRajeshwariNagar Zone","H Gollahalli kere/Bangalore South",Hemmagipura-25,7,25,Developed lake
,,,H. Gollahalli-09,7,8,Developed lake
,,,varahasandra-09,4,33,Developed lake
57,Mahadevpura Zone,"Kalkere / BangaloreEast taluk",Kalkere-45,73,11,Developed lake
,,,Kyalasanahalli-36,51,19,Developed lake
,,,Beelisivale-101,0,37,Developed lake
,,,"Horamavu Agra-36",61,11,Developed lake
58,Mahadevapura,"Mahadevapura  Lake/East taluk",Mahadevapura-7,26,23,Developed lake
59,Dasarahalli,"Kamgondanahalli KereBangalore North","Kamgondanahalli-18",15,26,Developed lake
,,,Shetty halli-67,5,32,Developed lake
,,,Medarahalli-26,1,32,Developed lake
60,"RajaRajeshwariNagar Zone",Kunte/ Bangalore,Vajarahalli-36,2,31,Developed lake
61,Mahadevpura Zone,Kundalahalli Lake,Kundalahalli-05,30,20,Developed lake
63,"BommanahalliZone","Kodige SingasandraLake",Singasandra-69,10,23,Developed lake
64,"BommanahalliZone","Basapura Lake-1/Bangalore South",Basapura-0015,9,34,Developed lake
,,,Singasandra-52,1,8,Developed lake
65,Mahadevapura,"DevarabeesanahalliLake","Devarabeesanahalli - 18",13,31,Developed lake
66,"RajaRajeshwariNagar Zone","Mallathahalli lake /Bangalore North",Mallathahalli-101,51,5,Work in progress
,,,Mallathahalli-26,1,9,Work in progress
,,,"Giddadakonehalli-6",20,8,Work in progress
67,"Bangalore SouthZone","Nayadahalli LakeBangalore South",Nayadahalli-31,13,9,Work in progress
68,Yelahanka Zone,"Harohalli lakeBangalore North Addl",Harohalli-91,74,32,Work in progress
69,Mahadevpura Zone,Garudachar Palya Lake,Mahadev pura-31,5,36,Work in progress
70,Bommanahalli Zone,Ibblur Lake,Ibbalur-0036,18,6,Work in progress
71,Mahadevapura,"CikkabasavanapuraLake",Basavanapura-14,14,7,Work in progress
72,Bommanahalli Zone,Kalena Agrahara Lake,"Kalena Agrahara-0043",7,30,Work in progress
73,Bommanahalli Zone,Begur Lake,Begur-0094,137,24,Work in progress
74,Bommanahalli Zone,Gottigere,Gottigere-0071,37,13,Work in progress
76,Bommanahalli Zone,"Sarakki/Jaraganahalli/Puttenahalli Lake",Sarakki-26,38,0,Work in progress
,,,Puttenahalli -5,6,10,Work in progress
,,,Jaraganahalli-7,38,14,Work in progress
77,Bommanahalli Zone,"Annappanakere /Yelchenahalli Lake","06,",6,32,Work in progress
78,R.R.Nagar Zone,Vishwaneedum Lake,Herohalli - 50,4,34,Work in progress
79,"MahadevapuraZone",Hormavu Agara Lake,"Hormavu Agara -77",51,34,Work in progress
80,Yelahanka zone,Singapura Lake,Singapura-102,66,18,Work in progress
81,"MahadevapuraZone",Bhattarahalli Lake,Bhattarahalli - 2,18,10,Work in progress
82,"MahadevapuraZone",Sadaramangala Lake,"Sadaramangalakere-61",51,4,Work in progress
,,,Kodagehalli-8,1,17,Work in progress
83,"MahadevapuraZone",Siddapura Lake,Siddapura - 18,27,35,Work in progress
84,Dasarahalli,Bagalgunte Lake,Bagalgunte -113,10,14,Work in progress
85,"MahadevapuraZone",Vibhuthipura kere,Vibhuthipura-175,45,18,Work in progress
86,"MahadevapuraZone",K R Puram (BEML),Benniganahalli-47,18,25,Work in progress
87,Bommanahalli,"Haralakunte Lake(Somasandrakere)",Haralakunte-0051,16,29,Work in progress
88,Bommanahalli,Anjanapura Lake / Alahalli,Alahalli-0030,21,25,Work in progress
89,Mahadevapura,Hoodi kere,Hoodi-79,15,10,Work in progress
90,Mahadevapura,Bhoganahalli Lake,Bhoganahalli - 21,12,24,Work in progress
91,Mahadevapura,Panathur lake,Panathur -38,25,17,Work in progress
92,Mahadevapura,Hoodi Giddanakere,Hoodi-138,28,31,Work in progress
93,Bommanahalli,Byraweshwara nagara,"Chunchaghatta-0070",23,9,Tender in Process
94,Mahadevapura,Kaggadasapura Lake,"Kaggadasapura -141",50,26,To Be Developed
,,,Bendiganahalli - 5,50,26,To Be Developed
95,"RajaRajeshwariNagar Zone",Nagarabhavi Lake,Nagarabhavi - 77,9,31,To Be Developed
96,Mahadevapura,Jimkenahalli Lake,Varanasi - 47,8,35,To Be Developed
97,"MahadevapuraZone",Kalkere Rampura kere,Kalkere-162,64,25,To Be Developed
,,,Rampura-22,3,4,To Be Developed
,,,"Maragondanahalli-71",11,35,To Be Developed
,,,Huvineane-86,108,7,To Be Developed
98,"MahadevapuraZone","Nagareshwara-Nagenahalli Lake","NagareshwaraNagenahalli-10",11,8,To Be Developed
100,Dasarahalli Zone,Abbigere Kere,Abbigere-75,26,6,To Be Developed
,,,Singapura-93,21,7,To Be Developed
101,"MahadevapuraZone",Bellahalli,Bellahalli-68,18,32,To Be Developed
102,Yelahanka Zone,Lakshmipura lake,Lakshmipura-25,10,20,To Be Developed
103,Yelahanka Zone,Shivanahalli Lake,Shivanahalli-48,14,38,To Be Developed
,,,Allalasandra-38,0,27,To Be Developed
104,Yelahanka Zone,Srinivasapura Kere,Srinivasapura-2,3,14,To Be Developed
105,Yelahanka Zone,Vaderahalli,Vaderahalli-32,9,34,To Be Developed
106,R.R.Nagar Zone,Konasandra Lake,"15, hemmigepura",37,14,To Be Developed
107,"Bangalore SouthZone",Kothanuru lake,Kottanuru - 54,18,9,To Be Developed
108,R.R.Nagar Zone,Sompura Lake,"Sompura 11, 12",18,20,To Be Developed
109,R.R.Nagar Zone,Talghatapura Lake,Talghatapura - 73,19,16,To Be Developed
110,Yelahanka Zone,Venkatehpura Lake,Venkateshpura 12,6,35,To Be Developed
,,,Sampigehalli 37,4,0,To Be Developed
111,"MahadevapuraZone",Mahadevapura Lake,"Mahadevapura-187",13,32,To Be Developed
112,"Bangalore SouthZone",Mesthripalya lake,"Jakkasandra-30,31",9,18,To Be Developed
114,"Mahadevapurazone",Sitaram Palya,Sonnenalli-33,25,5,To Be Developed
115,"Mahadevapurazone",Nalluralli tank,Nalluralli-4,20,34,To Be Developed
,,,"PattandurAgrahara-85",27,5,To Be Developed
116,"Mahadevapurazone","Kelagina kere /Byrasnadra",Byrasandra-112,12,21,To Be Developed
117,"Mahadevapurazone",Gunjur mouji kere,Gunjur-301 (P),59,13,To Be Developed
,,,"Kachamaranahalli-74",59,13,To Be Developed
118,"Mahadevapurazone",Gunjur Palya kere,Gunjur-83,36,27,To Be Developed
119,"BommanahalliZone","Basapura Lake-2/Bangalore South",Basapura-14,7,14,To Be Developed
120,"BommanahalliZone",Basavanapura Lake,"Basavanapura -0014",14,7,To Be Developed
121,"BommanahalliZone","Chowdeshwari layoutLake","Beratanaagrahara-0018",11,18,To Be Developed
122,"BommanahalliZone",Chikka Begur Lake,"Begur-168,",32,19,To Be Developed
,,,Singasandra-86,9,37,To Be Developed
123,"BommanahalliZone",Devarakere,Bikasipura-9,7,15,To Be Developed
124,"BommanahalliZone","DoddakallasandraLake","Doddakallasandra- 27",21,16,To Be Developed
125,"BommanahalliZone",Gowdana Palya Lake,"Kadirenahalli-0033",9,23,To Be Developed
126,"Rajarajeshwaranagar",Gubbalalu Lake,Gubbalalu - 25,8,10,To Be Developed
,Zone,,"Kammanahalli110",15,32,To Be Developed
128,"BommanahalliZone","Konappana Agraharalake",Naganathapura-81,5,17,To Be Developed
129,R.R.Nagar Zone,Lingadeeranahalli,"Lingadeeranahalli-13",5,22,To Be Developed
130,"BommanahalliZone","Kammanahalli Lake(Meenakshi Lake)","Kammanahalli-0038",18,37,To Be Developed
131,"BommanahalliZone",Nyanappanahalli Lake,Begur-0344,6,7,To Be Developed
132,R.R.Nagar,"Pattanagere/Kenchenhalli lake",Kenchenhalli-33,3,39,To Be Developed
,,,Pattanagere-43,-,31,To Be Developed
133,"BommanahalliZone",Subedaranakere,Begur-0048,6,5,To Be Developed
134,R.R.Nagar Zone,Varahasandra Lake,"Hemmigepura-004,",4,11,To Be Developed
,,,"Varahasandra-0024",13,9,To Be Developed
135,"BommanahalliZone",Vasanthapura kere,Vasanthapura 28,7,10,To Be Developed
136,"BommanahalliZone",Yelenahalli Lake,Yelenahalli - 55,4,39,To Be Developed
137,"BommanahalliZone","ChikkammanahalliLake","Kammanahalli-0022",5,19,To Be Developed
138,"BommanahalliZone","Swarnakunte guddakere","Chandrashekarapura-0001",9,5,To Be Developed
139,"Out side BBMP(Panchayath Limit)",Bhimana kuppe,"Bhimana kuppe-180",39,24,To Be Developed
140,R.R.Nagar Zone,Chikkabasthi lake,,7,2.7,To Be Developed
142,R.R.Nagar Zone,Kannali lake,Kannali-5,48,31,To Be Developed
,,,Kodigehalli-78,19,14,To Be Developed
143,R.R.Nagar Zone,Kenchanapura lake,Kenchanapura -10,17,26,To Be Developed
144,R.R.Nagar Zone,Narasappanahalli Kere,"Nellagadrenahalli-90",19,5,To Be Developed
,,,"Nellagadrenahalli-89",5,26,To Be Developed
,,,"Karivobanahalli-40",27,13,To Be Developed
,,,"Doddabidarakallu-24",1,20,To Be Developed
145,R.R.Nagar Zone,Srigandadakaval,"Srigandadakaval-15",6,33,To Be Developed
146,R.R.Nagar Zone,Soolikere,"-12, 26,27 ,",53,7,To Be Developed
147,R.R.Nagar Zone,"Doddabidarakallu/Nagasandra kere",Nagasandra-6,16,36,To Be Developed
,,,"Doddabidarakallu-125",23,10,To Be Developed
148,Bommanahalli Zone,Konanakunte Lake,Konanakunte - 2,9,18,To Be Developed
149,East,Konena Agrahara lake,"Konena Agrahara-60",20,10,Being used for other purpose
150,Mahadevpura Zone,Vijanapura Lake,Vijanapura-42,15,37.2,Being used for other purpose
152,Bommanahalli Zone,Chikkalsandra Lake,"Chikkalasandra-76",12,26,Being used for other purpose
153,Bangalore South,Thavarekare,Thavarekare-74,10,16,Being used for other purpose
154,West,Kamakshi palya,"Sanegoruvanahalli-60",6,35,Being used for other purpose
155,Bommanahalli Zone,Belakahalli,Belakahalli-172,7,0,Being used for other purpose
156,Bommanahalli Zone,Doresani palya,Belakahalli-167,56,37,Being used for other purpose
157,"RajaRajeshwariNagar Zone",Bovimaranahalli,"Halagevaderahalli-124",22,34,Being used for other purpose
158,Bommanahalli Zone,"Arehalli 2& 3 (Smalltanks)","Arehalli -27,28",0,0,Being used for other purpose
159,Bangalore South,Nandi shettappa lake,-,0,0,Being used for other purpose
160,"RajaRajeshwariNagar Zone",Gundopanth lake,Pantarapalya-59,2,1,Being used for other purpose
161,Bangalore South,Karisandra lake,Karisandra - 7,13,0,Being used for other purpose
162,West,"Anche ramana kere(Gangondanahalli)","Gangondana halli-8",2,15,Being used for other purpose
163,East,Byatagunte Playa,"Byatagunte palya-14",4,27,Being used for other purpose
164,East,Lingarajapura Lake,Lingarajapura-49,15,20,Being used for other purpose
165,East,Geddalahalli,Geddalahalli-03,21,18,Being used for other purpose
166,West,Sanigoruvahalli,"Sanigoruvahalli-120",15,24,Being used for other purpose
167,West,"Shivanahalli (AgraharaDasarahalli)","Sanigoruvahalli-31",8,33,Being used for other purpose
