bbmpLmsId,name,zone,lat,lon,latRaw,lonRaw,coordNote,url,source
205,Garudachar Palya Lake,Mahadevapura,12.9905842,77.6956237,12.9905842,77.6956237,,https://lms.bbmpgov.in/viewlakenew/205,bbmp-lms
206,Chinnappanahalli lake,Mahadevapura,12.9662146,77.7049222,12.9662146,77.7049222,,https://lms.bbmpgov.in/viewlakenew/206,bbmp-lms
207,Shilavanthana kere,Mahadevapura,12.9643932,77.7426379,12.9643932,77.7426379,,https://lms.bbmpgov.in/viewlakenew/207,bbmp-lms
208,Siddapura Lake,Mahadevapura,12.9582271,77.7245904,12.9582271,77.7245904,,https://lms.bbmpgov.in/viewlakenew/208,bbmp-lms
209,Kundalahalli Lake,Mahadevapura,12.9698526,77.7182155,12.9698526,77.7182155,,https://lms.bbmpgov.in/viewlakenew/209,bbmp-lms
210,Kenchanapura lake,RR Nagar,12.957,77.451,12.95700,77.45100,,https://lms.bbmpgov.in/viewlakenew/210,bbmp-lms
211,Kodigehalli lake,RR Nagar,12.977,77.468,12.97700,77.46800,,https://lms.bbmpgov.in/viewlakenew/211,bbmp-lms
212,Bheemana Katte kere,RR Nagar,12.91517,77.52867,12.91517,77.52867,,https://lms.bbmpgov.in/viewlakenew/212,bbmp-lms
213,Kannali Lake,RR Nagar,12.964,77.458,12.96400,77.45800,,https://lms.bbmpgov.in/viewlakenew/213,bbmp-lms
214,Soolikere,RR Nagar,12.947,77.461,12.94700,77.46100,,https://lms.bbmpgov.in/viewlakenew/214,bbmp-lms
221,Ulsoor lake,East,12.981944,77.619167,12.585500,77.370900,decoded from packed DMS,https://lms.bbmpgov.in/viewlakenew/221,bbmp-lms
223,Kaggadasapura Lake,East,12.981767,77.670783,12.981767,77.670783,,https://lms.bbmpgov.in/viewlakenew/223,bbmp-lms
224,Kariobanahalli Lake (Narasappanahalli kere),Dasarahalli,13.01723,77.49834,13.01723,77.49834,,https://lms.bbmpgov.in/viewlakenew/224,bbmp-lms
228,Srinivasapura Lake,Yelahanka,13.105972,77.625278,13.105972,77.625278,,https://lms.bbmpgov.in/viewlakenew/228,bbmp-lms
231,Madiwala Lake,South,12.9062301,77.6143924,12.9062301,77.6143924,,https://lms.bbmpgov.in/viewlakenew/231,bbmp-lms
232,Nagavara Lake,Yelahanka,,,13,"2'42.88""N","latitude split across both fields (13 deg 2' 42.88"" N); no longitude given",https://lms.bbmpgov.in/viewlakenew/232,bbmp-lms
233,Hebbal Lake,Yelahanka,,,13,"2'48.40""N","latitude split across both fields (13 deg 2' 48.40"" N); no longitude given",https://lms.bbmpgov.in/viewlakenew/233,bbmp-lms
