rauId,annexure,list,status,serial,tankNo,name,zone,taluk,areaHa,condition,landUse,recommendation,agency,page,source
a2-25,2,city,disused,25,704,Kerisanira tank,Between Hosur Road and Mysore Road,,0.6,The tank is surrounded by BDA dewelopments,Partly public & Gemi-public and partly park and open spaces,Remaining area to be developed as tree park,Forest Dept,44,rau-1986
a2-26,2,city,disused,26,713,Kadirenahalli Tank,Between Hosur Road and Mysore Road,,3.87,The tank is located in Beneshankari II stage scheme. Govt. has alloted the tank bed to Tooperative Training College,Public & semnipublic,Since already disposed the Committee has no comments,,45,rau-1986
a2-27,2,city,disused,27,705,Kathrin guppe tank,Between Hosur Road and Mysore Road,,2.4,The tank is located in BDA scheme area. Road have been developed alreand the tank,Park and open spaces,Committee recommends to develcp. Park exclusively,B.D.A & Forest Dept,45,rau-1986
a2-28,2,city,disused,28,702,Yadiyur * tank,Between Hosur Road and Mysore Road,,6.45,"It is located along Kanapura Road towards north of Yediyur village. Water sheet and a perk have already been developed, There is a garden land towards north-east of the tank bed. This is more suitablex for extension of park. The Tourist Dept. i¢ developing the tank area",Watersheet retained/ park & open spaces,To acquire more area and to develop water sheet park & bird Sactuary,Tourism. Dept.& Forest Dept,45,rau-1986
a2-29,2,city,disused,29,281,Lalbagh tank,Between Hosur Road and Mysore Road,,12.90,The tank is located inside the premises of Lalbegh & is maintained by Horticulture Dept,Watersheet totems (ins ide regional park),No comments,,45,rau-1986
a2-30,2,city,disused,30,698,Kempambudhi tank,Between Hosur Road and Mysore Road,,14.84,"The Kempambudhi tank is located towards west of Gavipuram Guttahalli. The tank is ill kept by allowing sullage water from east and fron south. A swinming pool and a park are developed on the southern side and a tree park in the eastern side. A sizeable water sheet is main-~ tained on the northern side. The tank bund is in good condition. There are historical aonuments on the bund and in the surrounding areas, Some encroachments are seen on the northern side",Pari & open spaces,The B.W.S.S.B to stop flow of sullage. Water front shou- 1d be developed. The shore areas and the bund ereas to be planted with trees. The committee recomuends for maintainance of water sheet on the northern side and play ground in the southern side,Forest Dept. Pourisa Dept,46,rau-1986
a2-31,2,city,disused,31,699,Karithinuanahally tank,Between Hosur Road and Mysore Road,,3.87,The tank is located towards western Side of Kenpambudhi Tank. The bund is in good condition. The bed is available for developments,Park& open spaces,Recommends for developing ornatental park combining the Kempambudhi tank ani Kari shimauanahally tank as one unit,B.D.A & Forest Dept,46,rau-1986
a2-32,2,city,disused,32,682,Anche Ramana kere,Between Mysore Road and Tumkur Road,,,The tank is located towards north of Mysore Road nearer to industrial area,Park & open spaces,The committee recommends to develop tree park with flowering trees,Forest Dept,46,rau-1986
a2-33,2,city,disused,33,696,Binny Mill Tank,Between Mysore Road and Tumkur Road,,30.37,BCC has filled up the tank bed. There is a pro-~ posal to make a wholesale fruit and vegetable market or a lorry parking area,Commerc al,No comments,B.c.c,47,rau-1986
a2-34,2,city,disused,34,681,Gangondanahalli tank,Between Mysore Road and Tumkur Road,,0.64,The tank is surrounded. by developments. The tank is: very small,Park and Open spaces and road,BDA may develop park,BDA & Forest Dept,47,rau-1986
a2-35,2,city,disused,35,680,Malagali Tank,Between Mysore Road and Tumkur Road,,3.87,The tank is a small one. The tank is breached,Partly road and pertly residential,To devélop tree park in tke tank bed,Forest Dept,47,rau-1986
a2-36,2,city,disused,36,679,Kamakshipalya tank,Between Mysore Road and Tumkur Road,,,It is a small tank with standing water. The tank is in good scondition. There are encroachments on all sides,Park and open spaces,Water sheet May be maintained after removing the encroachments,Forest Dept,47,rau-1986
a2-37,2,city,disused,37,678,Kurubarahally tank,Between Mysore Road and Tumkur Road,,,The tank is already alloted to Police Dept. for construction of staff quarters,"Developed area, Police quarters",No proposals Since disposed,,47,rau-1986
a2-38,2,city,disused,38,688,Shivanahally tank( Agrehara Dasarahally),Between Mysore Road and Tumkur Road,,,The tank has got standing: water sullage water is now allowed to enter Burd is in good condi-~- tion. The tank is surrounded by BDA layout,Park and open Spaces,Water sheet may be maintained with fore-~shore planting,Forest Dept,48,rau-1986
a2-39,2,city,disused,39,687,Sate curuvanahally tank,Between Mysore Road and Tumkur Road,,,The tank is breached ane. roads are formed by BDA on all sides. The bed is vacant,Park and cpen spaces,Tree park to be developed in the tank bed,Forest Dept,48,rau-1986
a2-40,2,city,disused,40,692,Sankey tank,Between Mysore Road and Tumkur Road,,,The tank was built in 1882 for water supply purposes. The bund is in good condition and there is water in the central part of the bed A swimming pool is built ub on the eastern side& a Dini park on the western side. Recently Tourisu dept. has introduced Boeting facility,Yatersheet on the Southern side and public and semipublic on the northern side,To develop tree park on the northern and western side & boating 2awakBbpt. facility on the southern side,Forest Dept.& Tourism,48,rau-1986
a2-41,2,city,disused,41,677,Dasainakere,Between Mysore Road and Tumkur Road,,,The tank is a very smaiz: f one & is occupied by unauthorised developments BDA has got a scheme called Nandini Layout around the tank,Residen- = tial,No comments,B.D. A,48,rau-1986
a2-42,2,city,disused,42,347,Geddalahalli tank,Between Tumkur Road and Bellary Road,,10.32,The tank is located in Raja Mahal Vilas II stage scheme. The tank is breached.BDA has formed roads on all sides,7e7™ end open spaces,Gonmittee recommends to develop free park,Forest Dept,49,rau-1986
a2-43,2,city,disused,43,348,Chickamaranahally tank,Between Tumkur Road and Bellary Road,,13.0,The tank is located near Nagashettihalli near R.M.¥ II stage scheme. In R.M.V. scheme water sheet proposed by BDA. But now it is learnt that the tank bed area is allowted to Space Dept. and Indian Institute of Science ami B.D.A,Pars and& Civil amenities,Recommended to form a park wherever it is wempossible in the bed area,B.D-A,49,rau-1986
a2-44,2,city,disused,44,509,sdallesandra tank,Between Tumkur Road and Bellary Road,,5.0,The tank is located in Jalshalli area,Within Defence area,Pore-shore Planting,Forest Dept,49,rau-1986
a2-45,2,city,disused,45,507,darakbanta Keval tank,Between Tumkur Road and Bellary Road,,,The tank is located in unclassified area,do,dow,do,49,rau-1986
a2-46,2,city,disused,46,349,Mathikere tank,Between Tumkur Road and Bellary Road,,39.34,"The tank is adjoining B,E.L. and H.M.?. Road near Yeshwanthapura,Tank is breached and Atchkat is developed Encorachments are observed in the tank bed. Unauthorised cultivation is observed in tank bed",Regional Park,Unauthorised cultivation snould be renoved. The bed should be developed as Regional park with play ground z facility,Forest Dept. and B.c.c,50,rau-1986
a4-1,4,city,live,1,381(a),Amruthalli tank,Between Bellary Road and Madras Road,,9.35,Tank is located towards east of Bellary Read. It has got atchkat,Park and open spaces,"To develop foreshore area, with plantation",Forest Dept,52,rau-1986
a4-2,4,city,live,2,354,Nagawara Tank,Between Bellary Road and Madras Road,,43.86,"The tank is located near Nagavara village, It is in the down stream side ef Hebbal tank, It is a big tank. There is scope for Tourism Department to effect some development for tourists",Park and open spaces,fo develop foreshore planting around the tank bed,Forest Dept.& Karnataka State Tourism Development Corporation,52,rau-1986
