rauId,annexure,list,status,serial,tankNo,name,zone,taluk,areaHa,condition,landUse,recommendation,agency,page,source
a4-71,4,city,live,71,514,Chokkasandra Tank,Between Hosur Road and Mysore Road,,10.65,The tank is located towards south of Dasarhalli,Park & open spaces,Foreshore planting. Watersheet to be retained,Forest Dept,62,rau-1986
a4-72,4,city,live,72,545,Doddakere Bagalkunte,Between Tumkur Road and Bellary Road,,9.36,he tank is located towards west of Bagalkunte,Residéntial zone details not show,foreshore planting. Wate sheet tobe ut-.ned Park to be enforced in the layout by BDA,Forest Dept.é& 3.D.A,62,rau-1986
a4-73,4,city,live,73,,Chickbanavara Tank,Between Tumkur Road and Bellary Road,,30.38,The tank is located towards east of Chickbanayara,Partly park & partly green belt,Fore snore plonting Watersneet to be retained. Tourist facilities by KSTDC,Forest Dept.& KSTDC,63,rau-1986
a4-74,4,city,live,74,,Narasipura Tank,Between Tumkur Road and Bellary Road,,4.52,The tank is on the east of Jalanalli,Park & open space,To develop tree park,Forast Dept,63,rau-1986
a4-75,4,city,live,75,251,Tinnalu tank,Between Tumkur Road and Bellary Road,,3.87,The tank is locéted in the interior,"Park & open spaces, Regional park",Foreshore planting Yatersheet to be retained,Forest Dept,63,rau-1986
a4-76,4,city,live,76,752,Doddabommasandra tank,Between Tumkur Road and Bellary Road,,46.44,The tank is lceated in the interior,Regional park,Regional park,Forest Dept,63,rau-1986
a4-77,4,city,live,77,508,Kamagondanahalli tank,Between Tumkur Road and Bellary Road,,11.29,The tank is located near Tumkur railway line and towards west of BMT anciilary industries,"Part of residential zone,wween Details not shown",Foreshore planting. To develop tree park the sarrounding area gets developed,Fo reat Devt eps,63,rau-1986
a4-78,4,city,live,78,497,Chickbettanahalli Tank,Between Tumkur Road and Bellary Road,,4.60,The tank is located towards north of Chickbettanalli,"Residential gone, Details not shown","Foreshore planing Watersneet tu ve kreteined, Bark to be enforced by BDA in Layout",Forest Dept.& BDA,63,rau-1986
a4-79,4,city,live,79,293,Hebbal tank,Between Tumkur Road and Bellary Road,,64.50,The tank is a live tank located long Bellary Road The water is covered with hycinth and is used for irrigetion purposes. The Forest Dept. hag developed & good Nursery on the southern gide,Regional park,"Regional park & foreshore planting, Removal of encroachments & wiiter hyacinth by Minor Irrigation Dept. Tourist facilities by K.S.2.D.0",Forest DeptxKSTIK & Minor Irriga—- tion Dept,63,rau-1986
a4-80,4,city,live,80,356,Gremadekere Allala gand ra,Between Tumkur Road and Bellary Road,,17.42,The tank is located towards south of Yelahank Satellite Town,Park & open spaces. Water sheet retained,Foreshore planting. Watersheet to be retained Tourist facilities by ESTDC,Forest Dept.& KSTDC,64,rau-1986
a4-81,4,city,live,81,361,Puttonanalii tank,Between Tumkur Road and Bellary Road,,8.87,The tank is located towards north of Yelahanka Satellite town and along Doddaballapura Road,Park and open spaces,Forsshore planting To develop sree park when the surrounding area gets developed. To devclop picnic spot by ESTDC,Forest Dept.& KST DC,64,rau-1986
a5-1,5,green belt,,1,384,Rachenahalli Tank,Between Bellary Road and Madras Road,Bangalore South,60.0,,,,,66,rau-1986
a5-2,5,green belt,,2,383,Kalkere Kere,Between Bellary Road and Madras Road,Bangalore South,75.0,,,,,66,rau-1986
a5-3,5,green belt,,3,536,Vallenecrukere or Chickere/Kalkere,Between Bellary Road and Madras Road,Bangalore South,80.0,,,,,66,rau-1986
a5-4,5,green belt,,4,337,Gramadake re Horamavu,Between Bellary Road and Madras Road,Bangalore South,19.2,,,,,66,rau-1986
a5-5,5,green belt,,5,338,Grama dakere Horamavu Agara,Between Bellary Road and Madras Road,Bangalore South,54.4,,,,,66,rau-1986
a5-6,5,green belt,,6,,Palahalli Tank,Between Bellary Road and Madras Road,Bangalore North,8.0,,,,,66,rau-1986
a5-7,5,green belt,,7,375,Kogilu Tank,Between Bellary Road and Madras Road,Bangalore North,180.0,,,,,66,rau-1986
a5-8,5,green belt,,8,376,Thirumalenahalli Tank,Between Bellary Road and Madras Road,Bangalore North,4.0,,,,,66,rau-1986
a5-9,5,green belt,,9,377,Gramadakere Cholkanahalli,Between Bellary Road and Madras Road,Bangalore North,3.6,,,,,66,rau-1986
a5-10,5,green belt,,10,378,Agrahara tank,Between Bellary Road and Madras Road,Bangalore North,6.4,,,,,66,rau-1986
a5-11,5,green belt,,11,379,Jakkur Mowjikere,Between Bellary Road and Madras Road,Bangalore North,50.0,,,,,66,rau-1986
a5-12,5,green belt,,12,380,Venkateshapura tank,Between Bellary Road and Madras Road,Bangalore North,2.8,,,,,66,rau-1986
a5-13,5,green belt,,13,384,Bettahalli tank,Between Bellary Road and Madras Road,Bangalore North,3.2,,,,,66,rau-1986
a5-14,5,green belt,,14,,Dagansyakanahslii tank,Between Bellary Road and Madras Road,Devanahalli,2.0,,,,,66,rau-1986
a5-15,5,green belt,,15,,Chagalatti tank,Between Bellary Road and Madras Road,Devanahalli,4.0,,,,,66,rau-1986
a5-16,5,green belt,,16,,Sathaner tank,Between Bellary Road and Madras Road,Devanahalli,1.5,,,,,66,rau-1986
a5-17,5,green belt,,17,,"Byappanshalls, tank",Between Bellary Road and Madras Road,Devanahalli,2.0,,,,,66,rau-1986
a5-18,5,green belt,,18,,Kattigonahalli tank,Between Bellary Road and Madras Road,Devanahalli,2.5,,,,,66,rau-1986
a5-19,5,green belt,,19,,Hunasamaranahalli tank,Between Bellary Road and Madras Road,Devanahalli,3.0,,,,,66,rau-1986
a5-20,5,green belt,,20,385,Kannur tank,Between Bellary Road and Madras Road,Hoskote,25.6,,,,,66,rau-1986
a5-21,5,green belt,,21,386,Yarappanshalli Tank,Between Bellary Road and Madras Road,Hoskote,6.8,,,,,66,rau-1986
a5-22,5,green belt,,22,387,Gubbi tank,Between Bellary Road and Madras Road,Hoskote,53.0,,,,,67,rau-1986
a5-23,5,green belt,,23,388,Amanikere Huvin ane,Between Bellary Road and Madras Road,Hoskote,36.0,,,,,67,rau-1986
a5-24,5,green belt,,24,,Ramapura tank,Between Bellary Road and Madras Road,Hoskote,5.0,,,,,67,rau-1986
a5-25,5,green belt,,25,391,Baiyappanahalli tank,Between Bellary Road and Madras Road,Hoskote,20.0,,,,,67,rau-1986
a5-26,5,green belt,,26,392,Bidarahalli Tank,Between Bellary Road and Madras Road,Hoskote,36.4,,,,,67,rau-1986
a5-27,5,green belt,,27,593,Cheemasandra tank,Between Bellary Road and Madras Road,Hoskote,13.2,,,,,67,rau-1986
a5-28,5,green belt,,28,,Nimekayipura tank,Between Bellary Road and Madras Road,Hoskote,7.6,,,,,67,rau-1986
a5-29,5,green belt,,29,331,Hosakeattbe Bidrahalli,Between Bellary Road and Madras Road,Hoskote,1.0,,,,,67,rau-1986
a5-30,5,green belt,,30,334,"Chowdammanakere, Kithgannur",Between Bellary Road and Madras Road,Hoskote,11.2,,,,,67,rau-1986
a5-31,5,green belt,,31,335,Jink Thimmnahalli Tank Varana si,Between Bellary Road and Madras Road,Hoskote,4.0,,,,,67,rau-1986
a5-32,5,green belt,,32,332,Bhatrahalli Tank,Between Bellary Road and Madras Road,Hoskote,10.0,,,,,67,rau-1986
a5-33,5,green belt,,33,382,Kodagi Kere-Byarati (near Geddalahalli),Between Bellary Road and Madras Road,Hoskote,9.6,,,,,67,rau-1986
a5-34,5,green belt,,34,139,Govinda Settikere Konappanna-Agrahara,Between Madras Road and Hosur Road,Bangalore South,4.0,,,,,67,rau-1986
a5-35,5,green belt,,35,,Tank North-East of Konappana-Agrahara,Between Madras Road and Hosur Road,Bangalore South,2.5,,,,,67,rau-1986
a5-36,5,green belt,,36,142,"Bollakere, Biratena Agrahara",Between Madras Road and Hosur Road,Bangalore South,2.0,,,,,67,rau-1986
a5-37,5,green belt,,37,143,"Biderkere, Amanikere",Between Madras Road and Hosur Road,Bangalore South,36.0,,,,,67,rau-1986
a5-38,5,green belt,,38,225,Harélur Tank,Between Madras Road and Hosur Road,Bangalore South,,,,,,67,rau-1986
a5-39,5,green belt,,39,232,"Bendekere, Haralkunte",Between Madras Road and Hosur Road,Bangalore South,6.8,,,,,67,rau-1986
a5-40,5,green belt,,40,233,Muniakona Saraikere. Haralukunte,Between Madras Road and Hosur Road,Bangalore South,6.8,,,,,67,rau-1986
a5-41,5,green belt,,41,234,Channasecttikere Haralkunte,Between Madras Road and Hosur Road,Bangalore South,0.8,,,,,67,rau-1986
a5-42,5,green belt,,42,235,"Mangammana Palyadakere,. Yellakunte",Between Madras Road and Hosur Road,Bangalore South,3.2,,,,,67,rau-1986
a5-43,5,green belt,,43,220,Junnasandra tank,Between Madras Road and Hosur Road,Bangalore South,0.25,,,,,68,rau-1986
a5-44,5,green belt,,44,221,Doddakere Chikkanahalli,Between Madras Road and Hosur Road,Bangalore South,247.2,,,,,68,rau-1986
a5-45,5,green belt,,45,,Tank West of Kodathi,Between Madras Road and Hosur Road,Bangalore South,4.0,,,,,68,rau-1986
a5-46,5,green belt,,46,205,Dyavarakere Sullikunte,Between Madras Road and Hosur Road,Bangalore South,5.2,,,,,68,rau-1986
a5-47,5,green belt,,47,206,Pasalreddikere Sulikunte,Between Madras Road and Hosur Road,Bangalore South,88.8,,,,,68,rau-1986
a5-48,5,green belt,,48,207,Doddakere (Kodatti),Between Madras Road and Hosur Road,Bangalore South,31.6,,,,,68,rau-1986
a5-49,5,green belt,,49,208,Mullur Tank,Between Madras Road and Hosur Road,Bangalore South,15.2,,,,,68,rau-1986
a5-50,5,green belt,,50,209,"Moralikere, Gunjur",Between Madras Road and Hosur Road,Bangalore South,30.4,,,,,68,rau-1986
a5-51,5,green belt,,51,210,"Hosakere, Gunjur",Between Madras Road and Hosur Road,Bangalore South,3.6,,,,,68,rau-1986
a5-52,5,green belt,,52,211,"Doddakere, Gunjur",Between Madras Road and Hosur Road,Bangalore South,14.8,,,,,68,rau-1986
a5-53,5,green belt,,53,212,"Palyadakere, Pannathur",Between Madras Road and Hosur Road,Bangalore South,2.8,,,,,68,rau-1986
a5-54,5,green belt,,54,213,Boganahalli Tank,Between Madras Road and Hosur Road,Bangalore South,4.8,,,,,68,rau-1986
a5-55,5,green belt,,55,214,BoganahalliAne,Between Madras Road and Hosur Road,Bangalore South,1.2,,,,,68,rau-1986
a5-56,5,green belt,,56,215,"Uramundinakere, Panathur",Between Madras Road and Hosur Road,Bangalore South,10.0,,,,,68,rau-1986
a5-57,5,green belt,,57,216,"Kodagikere, Devarabisanahalli",Between Madras Road and Hosur Road,Bangalore South,40.2,,,,,68,rau-1986
a5-58,5,green belt,,58,217,"Haralkere, Doddakannelli",Between Madras Road and Hosur Road,Bangalore South,23.2,,,,,68,rau-1986
a5-59,5,green belt,,59,301,"Amanikere, Belandur",Between Madras Road and Hosur Road,Bangalore South,360.0,,,,,68,rau-1986
a5-60,5,green belt,,60,314,Tank east of Channapanahalli,Between Madras Road and Hosur Road,Bangalore South,4.53,,,,,68,rau-1986
a5-61,5,green belt,,61,316,"Mowjikere, Siddapura",Between Madras Road and Hosur Road,Bangalore South,1.6,,,,,68,rau-1986
a5-62,5,green belt,,62,317,"Amanikere, Varthur",Between Madras Road and Hosur Road,Bangalore South,180.4,,,,,68,rau-1986
a5-63,5,green belt,,63,318,"Agraharakere, Pattendur",Between Madras Road and Hosur Road,Bangalore South,2.8,,,,,68,rau-1986
a5-64,5,green belt,,64,319,"Kodagikere, Nallurhealli",Between Madras Road and Hosur Road,Bangalore South,17.2,,,,,68,rau-1986
a5-65,5,green belt,,65,320,"Shivaranthakore, Hadagur",Between Madras Road and Hosur Road,Bangalore South,8.0,,,,,68,rau-1986
a5-66,5,green belt,,66,204,"Mowjfikere, Gunjur",Between Madras Road and Hosur Road,Bangalore South,25.6,,,,,68,rau-1986
a5-67,5,green belt,,67,203,"Mowjikere, Kenchamaranahalli",Between Madras Road and Hosur Road,Bangalore South,5.2,,,,,68,rau-1986
a5-68,5,green belt,,68,321,Sonnenehalli tank,Between Madras Road and Hosur Road,Bangalore South,3.0,,,,,68,rau-1986
a5-69,5,green belt,,69,322,Sadaramangala Tank,Between Madras Road and Hosur Road,Bangalore South,7.5,,,,,68,rau-1986
a5-70,5,green belt,,70,323,Sigehalli tank,Between Madras Road and Hosur Road,Bangalore South,5.0,,,,,69,rau-1986
a5-71,5,green belt,,71,196,Rayasand rakake re,Between Madras Road and Hosur Road,Anekal,30.0,,,,,69,rau-1986
a5-72,5,green belt,,72,197,"Banammanskere, Gattahalli",Between Madras Road and Hosur Road,Anekal,29.42,,,,,69,rau-1986
a5-73,5,green belt,,73,199,Chokkasandra tank,Between Madras Road and Hosur Road,Anekal,,,,,,69,rau-1986
a5-74,5,green belt,,74,200,Harohalli tank,Between Madras Road and Hosur Road,Anekal,5.2,,,,,69,rau-1986
a5-75,5,green belt,,75,201,Huskur tank,Between Madras Road and Hosur Road,Anekal,39.2,,,,,69,rau-1986
a5-76,5,green belt,,76,202,Kaggelipura tank,Between Madras Road and Hosur Road,Anekal,,,,,,69,rau-1986
a5-77,5,green belt,,77,260,Choodagandra tank,Between Madras Road and Hosur Road,Anekal,8.0,,,,,69,rau-1986
a5-78,5,green belt,,78,227,Hosahalli tank,Between Madras Road and Hosur Road,Anekal,7.2,,,,,69,rau-1986
a5-79,5,green belt,,79,204,Gulimangala Hosakunte,Between Madras Road and Hosur Road,Anekal,3.75,,,,,69,rau-1986
a5-80,5,green belt,,80,204(a),Chikkanagemangala tank,Between Madras Road and Hosur Road,Anekal,1.2,,,,,69,rau-1986
a5-81,5,green belt,,81,,Gottamanahalli tank,Between Madras Road and Hosur Road,Anekal,8.0,,,,,69,rau-1986
a5-82,5,green belt,,82,,Sigena Agrahare tank,Between Madras Road and Hosur Road,Anekal,40.0,,,,,69,rau-1986
a5-83,5,green belt,,83,200,"Chikkanakundi, tank",Between Madras Road and Hosur Road,Anekal,5.0,,,,,69,rau-1986
a5-84,5,green belt,,84,248,"Kodagikere, Kathriguppe",Between Madras Road and Hosur Road,Anekal,11.2,,,,,69,rau-1986
a5-85,5,green belt,,85,,Ramana yakeanohalli tank,Between Madras Road and Hosur Road,Anekal,,,,,,69,rau-1986
a5-86,5,green belt,,86,,Ramanayekanahalli tank,Between Madras Road and Hosur Road,Anekal,4.0,,,,,69,rau-1986
a5-87,5,green belt,,87,196,"Halasananalli, Thippasandra tank",Between Madras Road and Hosur Road,Anekal,1.5,,,,,69,rau-1986
a5-88,5,green belt,,88,193,Heggondanahalli tank(Jodikunte),Between Madras Road and Hosur Road,Anekal,4.0,,,,,69,rau-1986
a5-89,5,green belt,,89,205,Heggondanahalli tank,Between Madras Road and Hosur Road,Anekal,3.5,,,,,69,rau-1986
a5-90,5,green belt,,90,232,"Parasetti Basammanakere, Thigol Chowdenahalli",Between Madras Road and Hosur Road,Anekal,13.2,,,,,69,rau-1986
a5-91,5,green belt,,91,,"Kodagikere, Dommigondra",Between Madras Road and Hosur Road,Anekal,10.0,,,,,69,rau-1986
a5-92,5,green belt,,92,394,Avalaholli tank,Between Madras Road and Hosur Road,Hoskote,14.4,,,,,69,rau-1986
a5-93,5,green belt,,93,395,"Mallappasettikere,Veeramahalli",Between Madras Road and Hosur Road,Hoskote,110.0,,,,,69,rau-1986
a5-94,5,green belt,,94,396,"Chikkamaganahalli tank, Bidere Agrahare",Between Madras Road and Hosur Road,Hoskote,8.0,,,,,70,rau-1986
a5-95,5,green belt,,95,597,Chikbanahalli tank,Between Madras Road and Hosur Road,Hoskote,4.0,,,,,70,rau-1986
a5-96,5,green belt,,96,398,"Mulikere, Kannamangala",Between Madras Road and Hosur Road,Hoskote,7.42,,,,,70,rau-1986
a5-97,5,green belt,,97,399,"Subbasettikere, Kondae?pu 79",Between Madras Road and Hosur Road,Hoskote,2.0,,,,,70,rau-1986
a5-98,5,green belt,,98,400,Katum Nallur Tank,Between Madras Road and Hosur Road,Hoskote,5.6,,,,,70,rau-1986
a5-99,5,green belt,,99,,Doddagattiganabbe tank,Between Madras Road and Hosur Road,Hoskote,20.0,,,,,70,rau-1986
a5-100,5,green belt,,100,,Koralurn tank,Between Madras Road and Hosur Road,Hoskote,,,,,,70,rau-1986
a5-101,5,green belt,,101,,Chudenapura tank,Between Hosur Road and Mysore Road,Bangalore South,5.5,,,,,70,rau-1986
a5-102,5,green belt,,102,124,Gangachottikere Chudenapura,Between Hosur Road and Mysore Road,Bangalore South,4.4,,,,,70,rau-1986
a5-103,5,green belt,,103,,Hemmigepura tank,Between Hosur Road and Mysore Road,Bangalore South,3.2,,,,,70,rau-1986
a5-104,5,green belt,,104,725,Hemmigepura tank,Between Hosur Road and Mysore Road,Bangalore South,,,,,,70,rau-1986
a5-105,5,green belt,,105,726,Veerammanakere Shompura,Between Hosur Road and Mysore Road,Bangalore South,,,,,,70,rau-1986
a5-106,5,green belt,,106,759,Talaghatapura tank,Between Hosur Road and Mysore Road,Bangalore South,3.0,,,,,70,rau-1986
a5-107,5,green belt,,107,760,Tank north of Nagegowdanapalya,Between Hosur Road and Mysore Road,Bangalore South,0.8,,,,,70,rau-1986
a5-108,5,green belt,,108,761,Tank South of Tatguri estate,Between Hosur Road and Mysore Road,Bangalore South,3.0,,,,,70,rau-1986
a5-109,5,green belt,,109,762,Saludoddi tank,Between Hosur Road and Mysore Road,Bangalore South,4.5,,,,,70,rau-1986
a5-110,5,green belt,,110,973,Badamonavartha Kaval tank (North of Agora),Between Hosur Road and Mysore Road,Bangalore South,2.0,,,,,70,rau-1986
a5-111,5,green belt,,111,734,(South of Agora),Between Hosur Road and Mysore Road,Bangalore South,2.0,,,,,70,rau-1986
a5-112,5,green belt,,112,,K.Gollahalli tank (2 tanks),Between Hosur Road and Mysore Road,Bangalore South,4.0,,,,,70,rau-1986
a5-113,5,green belt,,113,,Devagere tank,Between Hosur Road and Mysore Road,Bangalore South,2.5,,,,,70,rau-1986
a5-114,5,green belt,,114,,Venkatapura tank,Between Hosur Road and Mysore Road,Bangalore South,3.0,,,,,70,rau-1986
a5-115,5,green belt,,115,765,U.M.K.Pank(South of Maliasandra),Between Hosur Road and Mysore Road,Bangalore South,,,,,,70,rau-1986
a5-116,5,green belt,,116,766,Mallagandra tank,Between Hosur Road and Mysore Road,Bangalore South,0.5,,,,,70,rau-1986
a5-117,5,green belt,,117,769,Thippasandra tank,Between Hosur Road and Mysore Road,Bangalore South,0.8,,,,,70,rau-1986
a5-118,5,green belt,,118,,Tank North East of Agora v,Between Hosur Road and Mysore Road,Bangalore South,,,,,,70,rau-1986
a5-119,5,green belt,,119,,Gollahalli tank,Between Hosur Road and Mysore Road,Bangalore South,3.0,,,,,70,rau-1986
a5-120,5,green belt,,120,773,Kothnur Tank,Between Hosur Road and Mysore Road,Bangalore South,3.2,,,,,71,rau-1986
a5-121,5,green belt,,121,259,Bagavanopura K.Tank (Urumundinake re),Between Hosur Road and Mysore Road,Bangalore South,3.2,,,,,71,rau-1986
a5-122,5,green belt,,122,261,Gottigere Tank (Subrayanokere),Between Hosur Road and Mysore Road,Bangalore South,2.0,,,,,71,rau-1986
a5-123,5,green belt,,123,262,Kolena Agrahara Tank (Mowjikere),Between Hosur Road and Mysore Road,Bangalore South,3.2,,,,,71,rau-1986
a5-124,5,green belt,,124,257,Tank South of Kamanahalli,Between Hosur Road and Mysore Road,Bangalore South,6.80,,,,,71,rau-1986
a5-125,5,green belt,,125,258,Tank cast of Kammanahalli,Between Hosur Road and Mysore Road,Bangalore South,5.67,,,,,71,rau-1986
a5-126,5,green belt,,126,260,Tank South of Kammanahalli,Between Hosur Road and Mysore Road,Bangalore South,14.98,,,,,71,rau-1986
a5-127,5,green belt,,127,,Vadershalli tank (Dinnepalya tank),Between Hosur Road and Mysore Road,Bangalore South,3.0,,,,,71,rau-1986
a5-128,5,green belt,,128,263,Urumundinakerce Hulimavu,Between Hosur Road and Mysore Road,Bangalore South,50.0,,,,,71,rau-1986
a5-129,5,green belt,,129,251,Mylasondra tank (Chowthagadakere),Between Hosur Road and Mysore Road,Bangalore South,46.8,,,,,71,rau-1986
a5-130,5,green belt,,130,252,Subedaranakere Begur Chamrashekarapura,Between Hosur Road and Mysore Road,Bangalore South,18.4,,,,,71,rau-1986
a5-131,5,green belt,,131,256,"Nachonapalyadakere, Begur Chand rashekara pura",Between Hosur Road and Mysore Road,Bangalore South,2.8,,,,,71,rau-1986
a5-132,5,green belt,,132,255,"Subbainkere, Yelenahaili",Between Hosur Road and Mysore Road,Bangalore South,2.0,,,,,71,rau-1986
a5-133,5,green belt,,133,253,Agraharadakere Beguru,Between Hosur Road and Mysore Road,Bangalore South,165.0,,,,,71,rau-1986
a5-134,5,green belt,,134,254,"Doddakere, Begur",Between Hosur Road and Mysore Road,Bangalore South,46.58,,,,,71,rau-1986
a5-135,5,green belt,,135,239,"Naganaikanakere, Begur",Between Hosur Road and Mysore Road,Bangalore South,12.96,,,,,71,rau-1986
a5-136,5,green belt,,136,240,"Dinne Subrayanakere, Begur",Between Hosur Road and Mysore Road,Bangalore South,,,,,,71,rau-1986
a5-137,5,green belt,,137,241,"Venkotappanaikenakere, Begur",Between Hosur Road and Mysore Road,Bangalore South,4.45,,,,,71,rau-1986
a5-138,5,green belt,,138,242,Bagapura Chikkere,Between Hosur Road and Mysore Road,Bangalore South,2.0,,,,,71,rau-1986
a5-139,5,green belt,,139,245,"Urumundinakere, Vittaosandra",Between Hosur Road and Mysore Road,Bangalore South,7.6,,,,,71,rau-1986
a5-140,5,green belt,,140,246,Gendekere Mylasandra,Between Hosur Road and Mysore Road,Bangalore South,6.0,,,,,71,rau-1986
a5-141,5,green belt,,141,140,Doddathogur tank (Haromanckere),Between Hosur Road and Mysore Road,Bangalore South,5.0,,,,,71,rau-1986
a5-142,5,green belt,,142,,Dodaathagur tank,Between Hosur Road and Mysore Road,Bangalore South,,,,,,71,rau-1986
a5-143,5,green belt,,143,141,Kodagikere Doddathogur,Between Hosur Road and Mysore Road,Bangalore South,8.0,,,,,71,rau-1986
a5-144,5,green belt,,144,105,Hogaktinte Bettadaganapura,Between Hosur Road and Mysore Road,Bangalore South,2.8,,,,,71,rau-1986
a5-145,5,green belt,,145,106,Bettadaganapura~~~-~O8,Between Hosur Road and Mysore Road,Bangalore South,,,,,,72,rau-1986
a5-146,5,green belt,,146,107,Bettadaganapura tank (Govindanakunte),Between Hosur Road and Mysore Road,Bangalore South,0.4,,,,,72,rau-1986
a5-147,5,green belt,,147,156,Kenpanaikanahallikere (Bane rghatta),Between Hosur Road and Mysore Road,Anekal,2.0,,,,,72,rau-1986
a5-148,5,green belt,,148,166,"Venkatappanakere, Bilwaradahalli",Between Hosur Road and Mysore Road,Anekal,4.0,,,,,72,rau-1986
a5-149,5,green belt,,149,178,"Ramagowdantkers, Gollahallt",Between Hosur Road and Mysore Road,Anekal,2.4,,,,,72,rau-1986
a5-150,5,green belt,,150,140,"Addiganakere, Mantapa",Between Hosur Road and Mysore Road,Anekal,3.6,,,,,72,rau-1986
a5-151,5,green belt,,151,144,"Urunundina Doddakere, Mantapa",Between Hosur Road and Mysore Road,Anekal,17.42,,,,,72,rau-1986
a5-152,5,green belt,,152,145,"Karilyappanahallikere, Bannerghat ta oe",Between Hosur Road and Mysore Road,Anekal,,,,,,72,rau-1986
a5-153,5,green belt,,153,146,Bandikere Vaderahalli,Between Hosur Road and Mysore Road,Anekal,1.0,,,,,72,rau-1986
a5-154,5,green belt,,154,147,"Kodagikere, Sakalawara",Between Hosur Road and Mysore Road,Anekal,9.2,,,,,72,rau-1986
a5-155,5,green belt,,155,148,"Amanikere, Bhujangadasanakere",Between Hosur Road and Mysore Road,Anekal,,,,,,72,rau-1986
a5-156,5,green belt,,156,,Mantapa tank,Between Hosur Road and Mysore Road,Anekal,8.0,,,,,72,rau-1986
a5-157,5,green belt,,157,,Boginshalli tank,Between Hosur Road and Mysore Road,Anekal,,,,,,72,rau-1986
a5-158,5,green belt,,158,180,Hosakere Bingipura,Between Hosur Road and Mysore Road,Anekal,,,,,,72,rau-1986
a5-159,5,green belt,,159,181,"Hongekere, Hullabpalli",Between Hosur Road and Mysore Road,Anekal,0.8,,,,,72,rau-1986
a5-160,5,green belt,,160,182,"Motadakere, Hullahol1i",Between Hosur Road and Mysore Road,Anekal,13.6,,,,,72,rau-1986
a5-161,5,green belt,,161,154,"Doddakere, Hulimangaia",Between Hosur Road and Mysore Road,Anekal,26.80,,,,,72,rau-1986
a5-162,5,green belt,,162,155,"Urumundinakere, Nanjapura",Between Hosur Road and Mysore Road,Anekal,,,,,,72,rau-1986
a5-163,5,green belt,,163,,Uramundinakere Vabagand ra,Between Hosur Road and Mysore Road,Anekal,3.6,,,,,72,rau-1986
a5-164,5,green belt,,164,,Margondonghalli Tank,Between Hosur Road and Mysore Road,Anekal,6.0,,,,,72,rau-1986
a5-165,5,green belt,,165,,Shikeripalya tank (2 tanks),Between Hosur Road and Mysore Road,Anekal,,,,,,72,rau-1986
a5-166,5,green belt,,166,,Goldehalli tank,Between Hosur Road and Mysore Road,Anekal,5.0,,,,,72,rau-1986
a5-167,5,green belt,,167,,Hebgodi tank,Between Hosur Road and Mysore Road,Anekal,8.0,,,,,72,rau-1986
a5-168,5,green belt,,168,,Veerasandra tank,Between Hosur Road and Mysore Road,Anekal,3.0,,,,,72,rau-1986
a5-169,5,green belt,,169,,Veerasandra tank,Between Hosur Road and Mysore Road,Anekal,2.5,,,,,72,rau-1986
a5-170,5,green belt,,170,515,Doddabiderkal tank,Between Mysore Road and Tumkur Road,Bangalore North,18.4,,,,,73,rau-1986
a5-171,5,green belt,,171,522,"Lingedeeranthalli, Hosakere",Between Mysore Road and Tumkur Road,Bangalore North,,,,,,73,rau-1986
a5-172,5,green belt,,172,522(a),Harohalli tank,Between Mysore Road and Tumkur Road,Bangalore North,,,,,,73,rau-1986
a5-173,5,green belt,,173,522(b),"Lingadeeranshalli, Halekere",Between Mysore Road and Tumkur Road,Bangalore North,2.0,,,,,73,rau-1986
a5-174,5,green belt,,174,622,Sigeholli tank,Between Mysore Road and Tumkur Road,Bangalore North,2.4,,,,,73,rau-1986
a5-175,5,green belt,,175,663,"Subbainakere, Kodagihalli",Between Mysore Road and Tumkur Road,Bangalore North,4.8,,,,,73,rau-1986
a5-176,5,green belt,,176,664,"Venkappantkere, Kodagihalli",Between Mysore Road and Tumkur Road,Bangalore North,3.6,,,,,73,rau-1986
a5-177,5,green belt,,177,665,Kannehalli tank,Between Mysore Road and Tumkur Road,Bangalore North,28.20,,,,,73,rau-1986
a5-178,5,green belt,,178,666,Bampura tank,Between Mysore Road and Tumkur Road,Bangalore North,3.0,,,,,73,rau-1986
a5-179,5,green belt,,179,667,Manganahalli tank (Breached),Between Mysore Road and Tumkur Road,Bangalore North,,,,,,73,rau-1986
a5-180,5,green belt,,180,668,Manganshelli tank rend yakanohelli,Between Mysore Road and Tumkur Road,Bangalore North,1.6,,,,,73,rau-1986
a5-181,5,green belt,,181,670,Hullelu tank,Between Mysore Road and Tumkur Road,Bangalore North,4.0,,,,,73,rau-1986
a5-182,5,green belt,,182,671,Herohlly tank,Between Mysore Road and Tumkur Road,Bangalore North,16.20,,,,,73,rau-1986
a5-183,5,green belt,,183,672,"Thothakere,Herehalli",Between Mysore Road and Tumkur Road,Bangalore North,,,,,,73,rau-1986
a5-184,5,green belt,,184,279,Linganakatte Harokyathonahalli,Between Mysore Road and Tumkur Road,Nelamangala,,,,,,73,rau-1986
a5-185,5,green belt,,185,289,"Devagowlanakat te, Add kamaronahal ls",Between Mysore Road and Tumkur Road,Nelamangala,0.4,,,,,73,rau-1986
a5-186,5,green belt,,186,516,Madavara tank,Between Mysore Road and Tumkur Road,Nelamangala,24.40,,,,,73,rau-1986
a5-187,5,green belt,,187,523,Gangondanahalli tank,Between Mysore Road and Tumkur Road,Nelamangala,15.0,,,,,73,rau-1986
