source,slNo,parcelIndex,zone,zoneRaw,lakeName,taluk,nameTalukRaw,village,surveyNumbers,villageSurveyRaw,acres,guntas,areaAcres,status,statusRaw,problem
bbmp-custody,26,1,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Lingadeeranahalli (handrahalli) Lake,Bangalore North,Lingadeeranahalli (handrahalli) Lake Bangalore North,Lingaderanhalli,4,Lingaderanhalli -4,4,8,4.2,developed,Developed lake,
bbmp-custody,27,0,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Handrahalli kere,Bangalore North,Handrahalli kere Bangalore North North,Handrahalli,8,Handrahalli-8,15,18,15.45,developed,Developed lake,
bbmp-custody,28,0,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Kodigehalli lake,Bangalore North,Kodigehalli lake / Bangalore North,Kodigihally,30,Kodigihally-30,9,25,9.625,developed,Developed lake,
bbmp-custody,29,0,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Jogi kere,Bangalore South,Jogi kere / Bangalore South,Malasandra,30,Malasandra-30,2,27,2.675,developed,Developed lake,
bbmp-custody,30,0,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Ullala lake,Bangalore North,Ullala lake / Bangalore North,Ullala,93,Ullala-93,24,19,24.475,developed,Developed lake,
bbmp-custody,31,0,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,J.P Park,Bangalore North,J.P Park / Bangalore North,Jalahalli,32,Jalahalli-32,47,26,47.65,developed,Developed lake,
bbmp-custody,31,1,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,J.P Park,Bangalore North,J.P Park / Bangalore North,Mathikere,59,Mathikere-59,15,15,15.375,developed,Developed lake,
bbmp-custody,31,2,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,J.P Park,Bangalore North,J.P Park / Bangalore North,Thanniranahalli,1,Thanniranahalli-1,20,39,20.975,developed,Developed lake,
bbmp-custody,32,0,South,Bangalore South,,,Lake) Bangalore,Malagala,46,Malagala -46,6,26,6.65,developed,Developed lake,lake name cut off in the source; only 'Lake) Bangalore' survives
bbmp-custody,33,0,Dasarahalli,Dasarahalli,Dasarahalli (Chokkasandra) Lake,Bangalore North,Dasarahalli (Chokkasandra) Lake Bangalore North,Dasarahalli,24,Dasarahalli-24,3,29,3.725,developed,Developed lake,
bbmp-custody,33,1,Dasarahalli,Dasarahalli,Dasarahalli (Chokkasandra) Lake,Bangalore North,Dasarahalli (Chokkasandra) Lake Bangalore North,Chokkasandra,5,Chokkasandra-5,24,4,24.1,developed,Developed lake,
bbmp-custody,34,0,West,Bangalore West,Sankey tank,Bangalore North,Sankey tank / Bangalore North,Vyalikaval,21,Vyalikaval-21,40,24,40.6,developed,Developed lake,
bbmp-custody,35,0,East,Bangalore East,Ulsoor,Bangalore North,Ulsoor / Bangalore North,Ulsoor,,Ulsoor,108,8,108.2,developed,Developed lake,
bbmp-custody,36,0,Yelahanka,Yelahanka zone,Kattigenahalli Kere-31,Bangalore North (Additional),Kattigenahalli Kere-31 Bangalore North Addl,Kattigenahalli,31,Kattigenahalli-31,20,10,20.25,developed,Developed lake,
bbmp-custody,37,0,Yelahanka,Yelahanka zone,Thirumenahalli,Bangalore North (Additional),Thirumenahalli Bangalore North Addl,,63;68-78;84,"63,68to 78, 84 to",22,27,22.675,developed,Developed lake,village cut off in the source; survey numbers incomplete
bbmp-custody,39,0,Yelahanka,Yelahanka zone,Kogilu lake,Bangalore North (Additional),Kogilu lake Bangalore North Addl,Kogilu,84,Kogilu-84,40,4,40.1,developed,Developed lake,
bbmp-custody,39,1,Yelahanka,Yelahanka zone,Kogilu lake,Bangalore North (Additional),Kogilu lake Bangalore North Addl,Kattigenahalli,117,Kattigenahalli- 117,33,24,33.6,developed,Developed lake,
bbmp-custody,40,0,Yelahanka,Yelahanka zone,Yelahanka kere,Bangalore North (Additional),Yelahanka kere / Bangalore North Additional,Yelahanka,29,Yelahanka-29,53,36,53.9,developed,Developed lake,
