source,slNo,parcelIndex,zone,zoneRaw,lakeName,taluk,nameTalukRaw,village,surveyNumbers,villageSurveyRaw,acres,guntas,areaAcres,status,statusRaw,problem
bbmp-custody,95,0,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Nagarabhavi Lake,,Nagarabhavi Lake,Nagarabhavi,77,Nagarabhavi - 77,9,31,9.775,to be developed,To Be Developed,
bbmp-custody,96,0,Mahadevapura,Mahadevapura,Jimkenahalli Lake,,Jimkenahalli Lake,Varanasi,47,Varanasi - 47,8,35,8.875,to be developed,To Be Developed,
bbmp-custody,97,0,Mahadevapura,Mahadevapura Zone,Kalkere Rampura kere,,Kalkere Rampura kere,Kalkere,162,Kalkere-162,64,25,64.625,to be developed,To Be Developed,
bbmp-custody,97,1,Mahadevapura,Mahadevapura Zone,Kalkere Rampura kere,,Kalkere Rampura kere,Rampura,22,Rampura-22,3,4,3.1,to be developed,To Be Developed,
bbmp-custody,97,2,Mahadevapura,Mahadevapura Zone,Kalkere Rampura kere,,Kalkere Rampura kere,Maragondanahalli,71,Maragondanahalli -71,11,35,11.875,to be developed,To Be Developed,
bbmp-custody,97,3,Mahadevapura,Mahadevapura Zone,Kalkere Rampura kere,,Kalkere Rampura kere,Huvineane,86,Huvineane-86,108,7,108.175,to be developed,To Be Developed,
bbmp-custody,98,0,Mahadevapura,Mahadevapura Zone,Nagareshwara- Nagenahalli Lake,,Nagareshwara- Nagenahalli Lake,Nagareshwara Nagenahalli,10,Nagareshwara Nagenahalli-10,11,8,11.2,to be developed,To Be Developed,
bbmp-custody,100,0,Dasarahalli,Dasarahalli Zone,Abbigere Kere,,Abbigere Kere,Abbigere,75,Abbigere-75,26,6,26.15,to be developed,To Be Developed,
bbmp-custody,100,1,Dasarahalli,Dasarahalli Zone,Abbigere Kere,,Abbigere Kere,Singapura,93,Singapura-93,21,7,21.175,to be developed,To Be Developed,
bbmp-custody,101,0,Mahadevapura,Mahadevapura Zone,Bellahalli,,Bellahalli,Bellahalli,68,Bellahalli-68,18,32,18.8,to be developed,To Be Developed,
bbmp-custody,102,0,Yelahanka,Yelahanka Zone,Lakshmipura lake,,Lakshmipura lake,Lakshmipura,25,Lakshmipura-25,10,20,10.5,to be developed,To Be Developed,
bbmp-custody,103,0,Yelahanka,Yelahanka Zone,Shivanahalli Lake,,Shivanahalli Lake,Shivanahalli,48,Shivanahalli-48,14,38,14.95,to be developed,To Be Developed,
bbmp-custody,103,1,Yelahanka,Yelahanka Zone,Shivanahalli Lake,,Shivanahalli Lake,Allalasandra,38,Allalasandra-38,0,27,0.675,to be developed,To Be Developed,
bbmp-custody,104,0,Yelahanka,Yelahanka Zone,Srinivasapura Kere,,Srinivasapura Kere,Srinivasapura,2,Srinivasapura-2,3,14,3.35,to be developed,To Be Developed,
bbmp-custody,105,0,Yelahanka,Yelahanka Zone,Vaderahalli,,Vaderahalli,Vaderahalli,32,Vaderahalli-32,9,34,9.85,to be developed,To Be Developed,
bbmp-custody,106,0,Rajarajeshwari Nagar,R.R.Nagar Zone,Konasandra Lake,,Konasandra Lake,hemmigepura,15,"15, hemmigepura",37,14,37.35,to be developed,To Be Developed,
bbmp-custody,107,0,South,Bangalore South Zone,Kothanuru lake,,Kothanuru lake,Kottanuru,54,Kottanuru - 54,18,9,18.225,to be developed,To Be Developed,
bbmp-custody,108,0,Rajarajeshwari Nagar,R.R.Nagar Zone,Sompura Lake,,Sompura Lake,Sompura,11;12,"Sompura 11, 12",18,20,18.5,to be developed,To Be Developed,
bbmp-custody,109,0,Rajarajeshwari Nagar,R.R.Nagar Zone,Talghatapura Lake,,Talghatapura Lake,Talghatapura,73,Talghatapura - 73,19,16,19.4,to be developed,To Be Developed,
bbmp-custody,110,0,Yelahanka,Yelahanka Zone,Venkatehpura Lake,,Venkatehpura Lake,Venkateshpura,12,Venkateshpura 12,6,35,6.875,to be developed,To Be Developed,
bbmp-custody,110,1,Yelahanka,Yelahanka Zone,Venkatehpura Lake,,Venkatehpura Lake,Sampigehalli,37,Sampigehalli 37,4,0,4.0,to be developed,To Be Developed,
bbmp-custody,111,0,Mahadevapura,Mahadevapura Zone,Mahadevapura Lake,,Mahadevapura Lake,Mahadevapura,187,Mahadevapura- 187,13,32,13.8,to be developed,To Be Developed,
bbmp-custody,112,0,South,Bangalore South Zone,Mesthripalya lake,,Mesthripalya lake,Jakkasandra,30;31,"Jakkasandra-30, 31",9,18,9.45,to be developed,To Be Developed,
bbmp-custody,114,0,Mahadevapura,Mahadevapura zone,Sitaram Palya,,Sitaram Palya,Sonnenalli,33,Sonnenalli-33,25,5,25.125,to be developed,To Be Developed,
bbmp-custody,115,0,Mahadevapura,Mahadevapura zone,Nalluralli tank,,Nalluralli tank,Nalluralli,4,Nalluralli-4,20,34,20.85,to be developed,To Be Developed,
bbmp-custody,115,1,Mahadevapura,Mahadevapura zone,Nalluralli tank,,Nalluralli tank,Pattandur Agrahara,85,Pattandur Agrahara-85,27,5,27.125,to be developed,To Be Developed,
bbmp-custody,116,0,Mahadevapura,Mahadevapura zone,Kelagina kere / Byrasnadra,,Kelagina kere / Byrasnadra,Byrasandra,112,Byrasandra-112,12,21,12.525,to be developed,To Be Developed,
bbmp-custody,117,0,Mahadevapura,Mahadevapura zone,Gunjur mouji kere,,Gunjur mouji kere,Gunjur,301 (P),Gunjur-301 (P),59,13,59.325,to be developed,To Be Developed,
bbmp-custody,117,1,Mahadevapura,Mahadevapura zone,Gunjur mouji kere,,Gunjur mouji kere,Kachamaranahalli,74,Kachamaranahalli -74,59,13,59.325,to be developed,To Be Developed,
bbmp-custody,118,0,Mahadevapura,Mahadevapura zone,Gunjur Palya kere,,Gunjur Palya kere,Gunjur,83,Gunjur-83,36,27,36.675,to be developed,To Be Developed,
bbmp-custody,119,0,Bommanahalli,Bommanahalli Zone,Basapura Lake-2,Bangalore South,Basapura Lake-2/ Bangalore South,Basapura,14,Basapura-14,7,14,7.35,to be developed,To Be Developed,
bbmp-custody,120,0,Bommanahalli,Bommanahalli Zone,Basavanapura Lake,,Basavanapura Lake,Basavanapura,14,Basavanapura - 0014,14,7,14.175,to be developed,To Be Developed,
bbmp-custody,121,0,Bommanahalli,Bommanahalli Zone,Chowdeshwari layout Lake,,Chowdeshwari layout Lake,Beratana agrahara,18,Beratana agrahara-0018,11,18,11.45,to be developed,To Be Developed,
bbmp-custody,122,0,Bommanahalli,Bommanahalli Zone,Chikka Begur Lake,,Chikka Begur Lake,Begur,168,"Begur-168,",32,19,32.475,to be developed,To Be Developed,
bbmp-custody,122,1,Bommanahalli,Bommanahalli Zone,Chikka Begur Lake,,Chikka Begur Lake,Singasandra,86,Singasandra-86,9,37,9.925,to be developed,To Be Developed,
bbmp-custody,123,0,Bommanahalli,Bommanahalli Zone,Devarakere,,Devarakere,Bikasipura,9,Bikasipura-9,7,15,7.375,to be developed,To Be Developed,
bbmp-custody,124,0,Bommanahalli,Bommanahalli Zone,Doddakallasandra Lake,,Doddakallasandra Lake,Doddakallasandra,27,Doddakallasandra - 27,21,16,21.4,to be developed,To Be Developed,
bbmp-custody,125,0,Bommanahalli,Bommanahalli Zone,Gowdana Palya Lake,,Gowdana Palya Lake,Kadirenahalli,33,Kadirenahalli- 0033,9,23,9.575,to be developed,To Be Developed,
bbmp-custody,126,0,Rajarajeshwari Nagar,Rajarajeshwara nagar,Gubbalalu Lake,,Gubbalalu Lake,Gubbalalu,25,Gubbalalu - 25,8,10,8.25,to be developed,To Be Developed,second parcel row has a stray 'Zone' in the zone column; serial 127 is missing and may be this row
bbmp-custody,126,1,Rajarajeshwari Nagar,Rajarajeshwara nagar,Gubbalalu Lake,,Gubbalalu Lake,Kammanahalli,110,Kammanahalli 110,15,32,15.8,to be developed,To Be Developed,second parcel row has a stray 'Zone' in the zone column; serial 127 is missing and may be this row
bbmp-custody,128,0,Bommanahalli,Bommanahalli Zone,Konappana Agrahara lake,,Konappana Agrahara lake,Naganathapura,81,Naganathapura-81,5,17,5.425,to be developed,To Be Developed,
bbmp-custody,129,0,Rajarajeshwari Nagar,R.R.Nagar Zone,Lingadeeranahalli,,Lingadeeranahalli,Lingadeeranahalli,13,Lingadeeranahalli -13,5,22,5.55,to be developed,To Be Developed,
bbmp-custody,130,0,Bommanahalli,Bommanahalli Zone,Kammanahalli Lake (Meenakshi Lake),,Kammanahalli Lake (Meenakshi Lake),Kammanahalli,38,Kammanahalli- 0038,18,37,18.925,to be developed,To Be Developed,
bbmp-custody,131,0,Bommanahalli,Bommanahalli Zone,Nyanappanahalli Lake,,Nyanappanahalli Lake,Begur,344,Begur-0344,6,7,6.175,to be developed,To Be Developed,
bbmp-custody,132,0,Rajarajeshwari Nagar,R.R.Nagar,Pattanagere/ Kenchenhalli lake,,Pattanagere/ Kenchenhalli lake,Kenchenhalli,33,Kenchenhalli-33,3,39,3.975,to be developed,To Be Developed,
bbmp-custody,132,1,Rajarajeshwari Nagar,R.R.Nagar,Pattanagere/ Kenchenhalli lake,,Pattanagere/ Kenchenhalli lake,Pattanagere,43,Pattanagere-43,,31,0.775,to be developed,To Be Developed,
bbmp-custody,133,0,Bommanahalli,Bommanahalli Zone,Subedaranakere,,Subedaranakere,Begur,48,Begur-0048,6,5,6.125,to be developed,To Be Developed,
bbmp-custody,134,0,Rajarajeshwari Nagar,R.R.Nagar Zone,Varahasandra Lake,,Varahasandra Lake,Hemmigepura,4,"Hemmigepura- 004,",4,11,4.275,to be developed,To Be Developed,
bbmp-custody,134,1,Rajarajeshwari Nagar,R.R.Nagar Zone,Varahasandra Lake,,Varahasandra Lake,Varahasandra,24,Varahasandra- 0024,13,9,13.225,to be developed,To Be Developed,
bbmp-custody,135,0,Bommanahalli,Bommanahalli Zone,Vasanthapura kere,,Vasanthapura kere,Vasanthapura,28,Vasanthapura 28,7,10,7.25,to be developed,To Be Developed,
bbmp-custody,136,0,Bommanahalli,Bommanahalli Zone,Yelenahalli Lake,,Yelenahalli Lake,Yelenahalli,55,Yelenahalli - 55,4,39,4.975,to be developed,To Be Developed,
bbmp-custody,137,0,Bommanahalli,Bommanahalli Zone,Chikkammanahalli Lake,,Chikkammanahalli Lake,Kammanahalli,22,Kammanahalli- 0022,5,19,5.475,to be developed,To Be Developed,
bbmp-custody,138,0,Bommanahalli,Bommanahalli Zone,Swarnakunte gudda kere,,Swarnakunte gudda kere,Chandrashekarapura,1,Chandrashekarapura-0001,9,5,9.125,to be developed,To Be Developed,
bbmp-custody,139,0,Outside BBMP,Out side BBMP (Panchayath Limit),Bhimana kuppe,,Bhimana kuppe,Bhimana kuppe,180,Bhimana kuppe- 180,39,24,39.6,to be developed,To Be Developed,
bbmp-custody,140,0,Rajarajeshwari Nagar,R.R.Nagar Zone,Chikkabasthi lake,,Chikkabasthi lake,,,,7,2.7,7.0675,to be developed,To Be Developed,
bbmp-custody,142,0,Rajarajeshwari Nagar,R.R.Nagar Zone,Kannali lake,,Kannali lake,Kannali,5,Kannali-5,48,31,48.775,to be developed,To Be Developed,
bbmp-custody,142,1,Rajarajeshwari Nagar,R.R.Nagar Zone,Kannali lake,,Kannali lake,Kodigehalli,78,Kodigehalli-78,19,14,19.35,to be developed,To Be Developed,
bbmp-custody,143,0,Rajarajeshwari Nagar,R.R.Nagar Zone,Kenchanapura lake,,Kenchanapura lake,Kenchanapura,10,Kenchanapura -10,17,26,17.65,to be developed,To Be Developed,
bbmp-custody,144,0,Rajarajeshwari Nagar,R.R.Nagar Zone,Narasappanahalli Kere,,Narasappanahalli Kere,Nellagadrenahalli,90,Nellagadrenahalli- 90,19,5,19.125,to be developed,To Be Developed,
bbmp-custody,144,1,Rajarajeshwari Nagar,R.R.Nagar Zone,Narasappanahalli Kere,,Narasappanahalli Kere,Nellagadrenahalli,89,Nellagadrenahalli- 89,5,26,5.65,to be developed,To Be Developed,
bbmp-custody,144,2,Rajarajeshwari Nagar,R.R.Nagar Zone,Narasappanahalli Kere,,Narasappanahalli Kere,Karivobanahalli,40,Karivobanahalli- 40,27,13,27.325,to be developed,To Be Developed,
bbmp-custody,144,3,Rajarajeshwari Nagar,R.R.Nagar Zone,Narasappanahalli Kere,,Narasappanahalli Kere,Doddabidarakallu,24,Doddabidarakallu -24,1,20,1.5,to be developed,To Be Developed,
bbmp-custody,145,0,Rajarajeshwari Nagar,R.R.Nagar Zone,Srigandadakaval,,Srigandadakaval,Srigandadakaval,15,Srigandadakaval- 15,6,33,6.825,to be developed,To Be Developed,
bbmp-custody,146,0,Rajarajeshwari Nagar,R.R.Nagar Zone,Soolikere,,Soolikere,,12;26;27,"-12, 26,27 ,",53,7,53.175,to be developed,To Be Developed,village missing in the source
bbmp-custody,147,0,Rajarajeshwari Nagar,R.R.Nagar Zone,Doddabidarakallu/Nagasandra kere,,Doddabidarakallu/Nagasandra kere,Nagasandra,6,Nagasandra-6,16,36,16.9,to be developed,To Be Developed,
bbmp-custody,147,1,Rajarajeshwari Nagar,R.R.Nagar Zone,Doddabidarakallu/Nagasandra kere,,Doddabidarakallu/Nagasandra kere,Doddabidarakallu,125,Doddabidarakallu -125,23,10,23.25,to be developed,To Be Developed,
bbmp-custody,148,0,Bommanahalli,Bommanahalli Zone,Konanakunte Lake,,Konanakunte Lake,Konanakunte,2,Konanakunte - 2,9,18,9.45,to be developed,To Be Developed,
bbmp-custody,149,0,East,East,Konena Agrahara lake,,Konena Agrahara lake,Konena Agrahara,60,Konena Agrahara -60,20,10,20.25,used for other purpose,Being used for other purpose,
bbmp-custody,150,0,Mahadevapura,Mahadevpura Zone,Vijanapura Lake,,Vijanapura Lake,Vijanapura,42,Vijanapura-42,15,37.2,15.93,used for other purpose,Being used for other purpose,
bbmp-custody,152,0,Bommanahalli,Bommanahalli Zone,Chikkalsandra Lake,,Chikkalsandra Lake,Chikkalasandra,76,Chikkalasandra- 76,12,26,12.65,used for other purpose,Being used for other purpose,
bbmp-custody,153,0,South,Bangalore South,Thavarekare,,Thavarekare,Thavarekare,74,Thavarekare-74,10,16,10.4,used for other purpose,Being used for other purpose,
bbmp-custody,154,0,West,West,Kamakshi palya,,Kamakshi palya,Sanegoruvanahalli,60,Sanegoruvanahalli -60,6,35,6.875,used for other purpose,Being used for other purpose,
bbmp-custody,155,0,Bommanahalli,Bommanahalli Zone,Belakahalli,,Belakahalli,Belakahalli,172,Belakahalli-172,7,0,7.0,used for other purpose,Being used for other purpose,
bbmp-custody,156,0,Bommanahalli,Bommanahalli Zone,Doresani palya,,Doresani palya,Belakahalli,167,Belakahalli-167,56,37,56.925,used for other purpose,Being used for other purpose,
bbmp-custody,157,0,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Bovimaranahalli,,Bovimaranahalli,Halage vaderahalli,124,Halage vaderahalli-124,22,34,22.85,used for other purpose,Being used for other purpose,
bbmp-custody,158,0,Bommanahalli,Bommanahalli Zone,Arehalli 2& 3 (Small tanks),,Arehalli 2& 3 (Small tanks),Arehalli,27;28,"Arehalli -27,28",0,0,0.0,used for other purpose,Being used for other purpose,
bbmp-custody,159,0,South,Bangalore South,Nandi shettappa lake,,Nandi shettappa lake,,,,0,0,0.0,used for other purpose,Being used for other purpose,no village or survey number in the source
bbmp-custody,160,0,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Gundopanth lake,,Gundopanth lake,Pantarapalya,59,Pantarapalya-59,2,1,2.025,used for other purpose,Being used for other purpose,
bbmp-custody,161,0,South,Bangalore South,Karisandra lake,,Karisandra lake,Karisandra,7,Karisandra - 7,13,0,13.0,used for other purpose,Being used for other purpose,
bbmp-custody,162,0,West,West,Anche ramana kere (Gangondanahalli),,Anche ramana kere (Gangondanahalli),Gangondana halli,8,Gangondana halli- 8,2,15,2.375,used for other purpose,Being used for other purpose,
bbmp-custody,163,0,East,East,Byatagunte Playa,,Byatagunte Playa,Byatagunte palya,14,Byatagunte palya- 14,4,27,4.675,used for other purpose,Being used for other purpose,
bbmp-custody,164,0,East,East,Lingarajapura Lake,,Lingarajapura Lake,Lingarajapura,49,Lingarajapura-49,15,20,15.5,used for other purpose,Being used for other purpose,
bbmp-custody,165,0,East,East,Geddalahalli,,Geddalahalli,Geddalahalli,3,Geddalahalli-03,21,18,21.45,used for other purpose,Being used for other purpose,
bbmp-custody,166,0,West,West,Sanigoruvahalli,,Sanigoruvahalli,Sanigoruvahalli,120,Sanigoruvahalli- 120,15,24,15.6,used for other purpose,Being used for other purpose,
bbmp-custody,167,0,West,West,Shivanahalli (Agrahara Dasarahalli),,Shivanahalli (Agrahara Dasarahalli),Sanigoruvahalli,31,Sanigoruvahalli- 31,8,33,8.825,used for other purpose,Being used for other purpose,
