id,rank,title,pageUrl,fileUrl,thumbUrl,width,height,author,license,licenseUrl,attributionRequired,credit,dateTaken,uploaded,lat,lon,fromCategory,mentionsWater,source
lalbagh-kere,11,File:Lotus Pond (4351200380).jpg,https://commons.wikimedia.org/wiki/File:Lotus_Pond_(4351200380).jpg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Lotus_Pond_%284351200380%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fe/Lotus_Pond_%284351200380%29.jpg/960px-Lotus_Pond_%284351200380%29.jpg,3648,2736,"Darren Foreman from Surbiton, England",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,True,"Darren Foreman from Surbiton, England / CC BY 2.0 / Wikimedia Commons",2010-02-12,2016-07-08,12.947655,77.585486,False,True,commons
lalbagh-kere,12,File:Lotus Pond (4351201230).jpg,https://commons.wikimedia.org/wiki/File:Lotus_Pond_(4351201230).jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Lotus_Pond_%284351201230%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/dd/Lotus_Pond_%284351201230%29.jpg/960px-Lotus_Pond_%284351201230%29.jpg,3648,2736,"Darren Foreman from Surbiton, England",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,True,"Darren Foreman from Surbiton, England / CC BY 2.0 / Wikimedia Commons",2010-02-12,2016-07-08,12.947619,77.585433,False,True,commons
madavara-kere,1,"File:Anchepalya lake, Bangalore (2025) 01.jpg","https://commons.wikimedia.org/wiki/File:Anchepalya_lake,_Bangalore_(2025)_01.jpg",https://upload.wikimedia.org/wikipedia/commons/f/fe/Anchepalya_lake%2C_Bangalore_%282025%29_01.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fe/Anchepalya_lake%2C_Bangalore_%282025%29_01.jpg/960px-Anchepalya_lake%2C_Bangalore_%282025%29_01.jpg,4080,3072,Gpkp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True,Gpkp / CC BY-SA 4.0 / Wikimedia Commons,2025-07-23,2025-07-23,13.05432,77.478488,False,True,commons
madavara-kere,2,"File:Anchepalya lake, Bangalore (2025) 02.jpg","https://commons.wikimedia.org/wiki/File:Anchepalya_lake,_Bangalore_(2025)_02.jpg",https://upload.wikimedia.org/wikipedia/commons/3/35/Anchepalya_lake%2C_Bangalore_%282025%29_02.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/35/Anchepalya_lake%2C_Bangalore_%282025%29_02.jpg/960px-Anchepalya_lake%2C_Bangalore_%282025%29_02.jpg,4080,3072,Gpkp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True,Gpkp / CC BY-SA 4.0 / Wikimedia Commons,2025-07-23,2025-07-23,13.051866,77.482071,False,True,commons
madavara-kere,3,"File:Anchepalya lake, Bangalore (2025) 04.jpg","https://commons.wikimedia.org/wiki/File:Anchepalya_lake,_Bangalore_(2025)_04.jpg",https://upload.wikimedia.org/wikipedia/commons/8/87/Anchepalya_lake%2C_Bangalore_%282025%29_04.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/87/Anchepalya_lake%2C_Bangalore_%282025%29_04.jpg/960px-Anchepalya_lake%2C_Bangalore_%282025%29_04.jpg,4080,3072,Gpkp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True,Gpkp / CC BY-SA 4.0 / Wikimedia Commons,2025-07-23,2025-07-23,13.052698,77.478324,False,True,commons
madavara-kere,4,"File:Anchepalya lake, Bangalore (2025) 05.jpg","https://commons.wikimedia.org/wiki/File:Anchepalya_lake,_Bangalore_(2025)_05.jpg",https://upload.wikimedia.org/wikipedia/commons/4/4b/Anchepalya_lake%2C_Bangalore_%282025%29_05.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4b/Anchepalya_lake%2C_Bangalore_%282025%29_05.jpg/960px-Anchepalya_lake%2C_Bangalore_%282025%29_05.jpg,4080,3072,Gpkp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True,Gpkp / CC BY-SA 4.0 / Wikimedia Commons,2025-07-23,2025-07-23,13.05247,77.477938,False,True,commons
madavara-kere,5,"File:Anchepalya lake, Bangalore (2025) 06.jpg","https://commons.wikimedia.org/wiki/File:Anchepalya_lake,_Bangalore_(2025)_06.jpg",https://upload.wikimedia.org/wikipedia/commons/6/68/Anchepalya_lake%2C_Bangalore_%282025%29_06.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/68/Anchepalya_lake%2C_Bangalore_%282025%29_06.jpg/960px-Anchepalya_lake%2C_Bangalore_%282025%29_06.jpg,4080,3072,Gpkp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True,Gpkp / CC BY-SA 4.0 / Wikimedia Commons,2025-07-23,2025-07-23,13.051874,77.482058,False,True,commons
madavara-kere,6,"File:Anchepalya lake, Bangalore (2025) 07.jpg","https://commons.wikimedia.org/wiki/File:Anchepalya_lake,_Bangalore_(2025)_07.jpg",https://upload.wikimedia.org/wikipedia/commons/7/7d/Anchepalya_lake%2C_Bangalore_%282025%29_07.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7d/Anchepalya_lake%2C_Bangalore_%282025%29_07.jpg/960px-Anchepalya_lake%2C_Bangalore_%282025%29_07.jpg,4080,3072,Gpkp,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,True,Gpkp / CC BY-SA 4.0 / Wikimedia Commons,2025-07-23,2025-07-23,13.051484,77.477948,False,True,commons
madhure-kere,1,File:Madhure Kere (30403380642).jpg,https://commons.wikimedia.org/wiki/File:Madhure_Kere_(30403380642).jpg,https://upload.wikimedia.org/wikipedia/commons/3/35/Madhure_Kere_%2830403380642%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/35/Madhure_Kere_%2830403380642%29.jpg/960px-Madhure_Kere_%2830403380642%29.jpg,2048,1409,"Mike Prince from Bangalore, India",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,True,"Mike Prince from Bangalore, India / CC BY 2.0 / Wikimedia Commons",2016-10-22,2021-11-09,13.217998,77.443817,False,True,commons
madhure-kere,2,File:Madhure Kere (33332827038).jpg,https://commons.wikimedia.org/wiki/File:Madhure_Kere_(33332827038).jpg,https://upload.wikimedia.org/wikipedia/commons/e/e5/Madhure_Kere_%2833332827038%29.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e5/Madhure_Kere_%2833332827038%29.jpg/960px-Madhure_Kere_%2833332827038%29.jpg,2048,1152,"Mike Prince from Bangalore, India",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,True,"Mike Prince from Bangalore, India / CC BY 2.0 / Wikimedia Commons",2017-03-05,2021-11-09,13.215207,77.44825,False,True,commons
