histId,year,lat,lon,areaM2,nearestId,nearestDistanceM,alsoOnMaps,sheet,confidence,source
ams-nd44-9-1955-0092,1955,13.251749,77.92153,293699,unnamed-tank-near-chikkondahalli,1544,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0094,1955,13.249624,77.737201,183869,binnamangala-kere-l,517,soi-57g12-1927-0001,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0096,1955,13.246718,77.886199,107636,unnamed-tank-near-ambiga,1527,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0098,1955,13.245143,77.796677,57018,channarayapatna-lake,208,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0099,1955,13.241944,77.994301,3108384,hanumantapura-lake,2675,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0103,1955,13.238252,77.971259,142581,hanumantapura-lake,1376,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0123,1955,13.221923,77.962221,419892,arehalli-lake,512,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0124,1955,13.222463,77.701763,177443,dodda-sanne-kere,396,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0125,1955,13.217568,77.97657,1296059,hanumantapura-lake,1918,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0142,1955,13.208071,77.933059,68434,nelavagilu-lake,591,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0144,1955,13.207289,77.996395,1457209,arehalli-lake,4150,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0147,1955,13.20356,77.983006,86261,arehalli-lake,3468,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0148,1955,13.203727,77.968554,753522,arehalli-lake,1597,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0155,1955,13.192565,77.962426,69862,doddaganahalli-lake,1428,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0156,1955,13.192529,77.983551,75567,doddaganahalli-lake,3589,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0158,1955,13.194488,77.633665,65554,tarabanahalli-lake,589,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0160,1955,13.189481,77.976224,93389,doddaganahalli-lake,2793,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0163,1955,13.18518,77.996136,1231905,doddaganahalli-lake,4518,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0170,1955,13.180127,77.983242,174659,doddaganahalli-lake,3473,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0173,1955,13.178955,77.701468,140383,bandikodigenahalli-amani-kere,791,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0178,1955,13.174289,77.784399,50601,holegeripura-lake,880,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0185,1955,13.167889,77.973275,153269,gundarahalli-lake-2,2371,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0187,1955,13.164304,77.982911,117626,gundarahalli-lake-2,3473,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0192,1955,13.160642,77.842745,50605,dodda-koliga-kere,524,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0196,1955,13.155994,77.997941,911796,marasandhalli-lake-2,4450,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0202,1955,13.151217,77.887283,51320,d-shettihalli-kere,458,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0203,1955,13.151884,77.771024,54162,sonnahallipura-lake,883,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0209,1955,13.14525,77.980851,277309,marasandhalli-lake-2,3392,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0225,1955,13.130795,77.998149,1269653,ramasandra-lake-1,4367,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0229,1955,13.127067,77.977129,157837,ramasandra-lake-1,2697,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0231,1955,13.126461,77.971039,112083,ramasandra-lake-1,2044,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0236,1955,13.121856,77.963453,76988,ramasandra-lake-1,1162,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0241,1955,13.114868,77.973232,153977,ramasandra-lake-1,1955,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0243,1955,13.112785,77.996457,99090,ramasandra-lake-1,4532,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0244,1955,13.114817,77.788239,51312,vabasandra-lake,436,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0251,1955,13.108974,77.950478,77698,ramasandra-lake-1,219,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0261,1955,13.097775,77.935408,69142,bhairanahali-lake-1,607,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0266,1955,13.09374,77.919989,195305,bhairanahali-lake-1,769,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0267,1955,13.090205,77.985182,71286,ramasandra-lake-1,4168,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0277,1955,13.081419,77.959003,201017,ramasandra-lake-1,3241,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0281,1955,13.076864,77.940341,83398,sitanayakanahalli-lake,2077,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0287,1955,13.068807,77.888011,59871,chikka-taggali-kere,854,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0291,1955,13.064465,77.950839,856796,sitanayakanahalli-lake,1876,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0299,1955,13.054712,77.973724,274439,sitanayakanahalli-lake,4348,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0303,1955,13.054681,77.769744,54872,unnamed-tank-near-huskur-kodi,188,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0307,1955,13.05052,77.941481,652207,sitanayakanahalli-lake,801,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0309,1955,13.04836,77.617959,69821,nagawara-lake,554,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0316,1955,13.038771,77.940078,853917,unnamed-tank-near-chokkandahalli,989,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0318,1955,13.041202,77.634386,111858,hennur-lake,443,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0319,1955,13.037235,77.967648,104071,sitanayakanahalli-lake,4457,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0331,1955,13.029403,77.96662,394896,unnamed-tank-near-chokkandahalli,3686,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0332,1955,13.033234,77.60074,69106,nagawara-lake,1068,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0336,1955,13.024162,77.953196,81971,unnamed-tank-near-chokkandahalli,2977,,ams-nd44-9-1955,medium,ams-nd44-9-1955
ams-nd44-9-1955-0347,1955,13.018087,77.641447,73384,kajarakanahalli-kunte,214,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0357,1955,13.011122,77.805288,60574,nadvatti-lake,296,,ams-nd44-9-1955,low,ams-nd44-9-1955
ams-nd44-9-1955-0358,1955,13.009927,77.929704,601572,unnamed-tank-near-chokkandahalli,1758,,ams-nd44-9-1955,high,ams-nd44-9-1955
ams-nd44-9-1955-0359,1955,13.010177,77.74406,180993,belathuru-kunte,523,,ams-nd44-9-1955,high,ams-nd44-9-1955
