key,ringPixelCount,ringTreePct,ringShrubPct,ringGrassPct,ringCropPct,ringBuiltPct,ringBarePct,ringWaterPct,ringWetlandPct,insidePixelCount,insideWaterPct,insideWetlandPct,insideBuiltPct,source
krishnarajapura-karabu-katte,11812,34.5,32.3,6.2,22.0,4.8,0.2,0.0,0.0,152,0.0,0.0,0.0,esa-worldcover-2021
krishnarajapura-kunte,10034,38.7,32.1,5.5,19.9,3.6,0.3,0.0,0.0,11,0.0,0.0,0.0,esa-worldcover-2021
krishnarajapuram-kere,22091,13.3,1.3,1.7,6.3,75.5,1.8,0.0,0.0,1899,0.0,0.0,0.0,esa-worldcover-2021
krishnasagara-kunte-newly-created,11311,14.7,8.3,1.1,70.7,4.6,0.6,0.0,0.0,100,1.0,0.0,23.0,esa-worldcover-2021
krishnasagara-lake,13569,9.2,4.4,15.6,35.2,33.6,2.0,0.0,0.0,307,0.0,0.0,6.5,esa-worldcover-2021
krishnasagara-lake-2,14728,8.2,8.3,11.1,18.4,52.5,1.5,0.0,0.0,392,0.0,0.0,12.8,esa-worldcover-2021
krishnasagara-lake-3,10881,21.8,31.1,2.0,21.1,7.2,0.2,16.4,0.0,43,0.0,0.0,0.0,esa-worldcover-2021
kudlu-chikere,14594,8.3,0.5,1.7,5.4,83.5,0.6,0.0,0.0,363,17.1,0.0,0.3,esa-worldcover-2021
kuduregere-kunte,10161,12.6,16.6,3.8,46.7,20.2,0.1,0.0,0.0,16,0.0,0.0,12.5,esa-worldcover-2021
kukkalahalli-kere,16703,9.2,3.3,1.8,84.9,0.7,0.0,0.1,0.0,990,0.0,0.0,0.0,esa-worldcover-2021
kukkalahalli-kere-1,11891,9.6,7.0,0.6,82.5,0.2,0.0,0.0,0.0,133,9.0,0.0,0.0,esa-worldcover-2021
kukkalahalli-lake,11997,40.8,13.1,0.3,45.1,0.7,0.0,0.0,0.0,138,0.0,0.0,0.0,esa-worldcover-2021
kukkalahalli-lake-2,15669,6.4,8.9,9.7,74.4,0.5,0.1,0.0,0.0,549,0.0,0.0,0.0,esa-worldcover-2021
kukkanahalli-kere,19645,7.5,4.7,0.2,83.8,3.7,0.0,0.0,0.0,1380,0.1,0.0,0.3,esa-worldcover-2021
kukkonallipalya-lake,11759,10.8,13.6,0.0,73.8,1.8,0.0,0.0,0.0,107,36.4,0.0,1.9,esa-worldcover-2021
kulaghatta,16005,20.0,6.3,1.8,69.1,2.9,0.0,0.0,0.0,721,0.0,0.0,0.0,esa-worldcover-2021
kulavanahalli-kere,15112,14.4,1.2,1.1,70.2,12.6,0.4,0.0,0.0,457,17.9,0.0,0.0,esa-worldcover-2021
kumbalagodu-gollahalli-kunte1,10296,12.2,11.1,5.8,62.0,8.8,0.0,0.0,0.0,24,0.0,0.0,0.0,esa-worldcover-2021
kumbalagodu-gollahalli-kunte2,10149,34.5,15.7,2.2,40.1,7.4,0.2,0.0,0.0,13,0.0,0.0,0.0,esa-worldcover-2021
kumbalagodu-gollahalli-kunte3,10559,51.1,14.9,6.7,24.8,2.4,0.1,0.0,0.0,36,0.0,0.0,0.0,esa-worldcover-2021
kumbalagodu-kere,15738,18.2,24.8,4.9,46.7,5.2,0.2,0.0,0.0,676,0.0,0.0,0.0,esa-worldcover-2021
kumbalagodu-kere-2,11893,25.7,14.8,15.0,18.2,19.0,6.9,0.3,0.0,168,0.0,0.0,22.0,esa-worldcover-2021
kumbalagodu-kunte1,10730,23.0,13.2,9.6,10.4,43.0,0.9,0.0,0.0,46,0.0,0.0,95.7,esa-worldcover-2021
kumbalagodu-kunte2,10132,19.8,7.7,5.4,18.6,47.5,1.0,0.0,0.0,16,0.0,0.0,0.0,esa-worldcover-2021
kumbalagodu-kunte3,11275,7.6,12.9,7.5,21.1,49.4,1.4,0.0,0.0,96,0.0,0.0,55.2,esa-worldcover-2021
kumbalagodu-kunte4,9867,1.7,2.9,15.8,54.1,21.8,3.7,0.0,0.0,6,0.0,0.0,0.0,esa-worldcover-2021
kumbalagodu-kunte5,10563,6.5,6.5,9.0,38.4,37.9,1.1,0.6,0.0,39,0.0,0.0,10.3,esa-worldcover-2021
kumbalagodu-kunte6,10924,12.9,9.1,9.4,49.6,17.8,1.2,0.0,0.0,54,25.9,0.0,0.0,esa-worldcover-2021
kumbalagodu-kunte7,10639,26.8,17.5,13.4,21.9,12.5,7.8,0.1,0.0,42,0.0,0.0,0.0,esa-worldcover-2021
kumbalagodu-kunte8,10743,20.2,14.9,13.6,25.7,18.4,7.3,0.0,0.0,48,0.0,0.0,6.2,esa-worldcover-2021
kumbarahalli-kere,18548,25.5,7.2,2.0,51.6,13.2,0.4,0.0,0.0,1061,0.3,0.0,0.2,esa-worldcover-2021
kumbarahalli-kere-2,11762,23.0,7.0,3.0,35.1,30.0,1.9,0.0,0.0,148,0.0,0.0,19.6,esa-worldcover-2021
kumbarakere,12615,37.6,19.2,14.6,12.3,15.9,0.4,0.0,0.0,157,0.0,0.0,0.0,esa-worldcover-2021
kumbenaagrahara-kunte,11017,21.8,17.9,4.8,16.9,36.6,1.9,0.0,0.0,72,0.0,0.0,0.0,esa-worldcover-2021
kun-madiwala-lake,17912,14.7,16.3,18.6,35.3,13.5,1.2,0.4,0.0,912,6.7,0.0,0.0,esa-worldcover-2021
kundalahalli-kere,17840,11.7,3.3,0.7,2.2,81.4,0.7,0.1,0.0,860,82.7,0.0,1.3,esa-worldcover-2021
kundarahalli-kunte1,10571,17.8,4.2,3.0,7.3,64.6,3.1,0.0,0.0,36,0.0,0.0,63.9,esa-worldcover-2021
kuppareddy-kere,15819,46.6,24.8,5.5,4.3,16.9,0.1,1.9,0.0,325,94.8,0.0,0.9,esa-worldcover-2021
kuppemala-kere,23941,25.3,8.3,0.3,62.5,3.4,0.1,0.1,0.0,2064,3.8,0.0,0.0,esa-worldcover-2021
kurubalahalli-kere,27385,6.9,4.0,2.9,82.9,2.9,0.4,0.0,0.0,3572,2.6,0.0,0.0,esa-worldcover-2021
kurubarahalli-kere,14280,10.8,3.7,1.4,68.4,15.5,0.0,0.1,0.0,424,0.0,0.0,4.7,esa-worldcover-2021
kurubarahalli-lake,13572,9.5,20.8,14.3,44.7,4.7,5.8,0.2,0.0,316,76.9,0.0,0.0,esa-worldcover-2021
kurubarahalli-lake-1,11492,8.8,17.9,6.5,45.8,20.8,0.2,0.0,0.0,73,0.0,0.0,4.1,esa-worldcover-2021
kurubarapalya-kere,15526,10.5,5.3,10.9,63.6,6.3,3.5,0.0,0.0,564,14.5,0.0,0.0,esa-worldcover-2021
kurubarhalli-lake,16008,1.5,12.5,14.7,62.2,7.6,1.5,0.0,0.0,829,0.4,0.0,0.0,esa-worldcover-2021
kuruvegere-kere,19691,12.8,4.4,1.5,74.3,5.8,1.2,0.0,0.0,1779,0.0,0.0,0.0,esa-worldcover-2021
kuvempu-nagara-lake,15431,11.5,3.4,21.3,53.7,8.6,0.9,0.6,0.0,567,11.8,0.0,0.0,esa-worldcover-2021
kuvempunagar-lake,11129,42.1,20.1,0.9,2.8,33.7,0.5,0.0,0.0,51,0.0,0.0,3.9,esa-worldcover-2021
kyalasanahalli-govt-lake,17583,13.3,8.5,13.4,29.2,33.9,1.3,0.4,0.0,1075,72.7,0.0,0.0,esa-worldcover-2021
kyalasanahalli-lake,11357,30.3,6.7,1.5,13.1,47.7,0.6,0.0,0.0,86,0.0,0.0,39.5,esa-worldcover-2021
lagamenahalli-lake,14512,9.5,7.6,12.9,57.3,10.9,0.9,0.8,0.0,431,86.3,0.0,0.0,esa-worldcover-2021
laggere-kunte1,10865,2.1,0.9,0.2,0.1,96.0,0.7,0.0,0.0,58,0.0,0.0,69.0,esa-worldcover-2021
laggere-kunte2,11064,2.7,0.0,0.1,0.0,97.1,0.2,0.0,0.0,76,0.0,0.0,96.1,esa-worldcover-2021
laggere-kunte3,10766,4.7,0.0,0.0,0.0,95.2,0.0,0.0,0.0,49,0.0,0.0,89.8,esa-worldcover-2021
laggere-kunte4,10678,4.7,0.0,0.0,0.0,95.2,0.0,0.0,0.0,44,0.0,0.0,100.0,esa-worldcover-2021
laggere-kunte5,10306,8.9,0.1,0.0,0.0,91.0,0.0,0.0,0.0,22,0.0,0.0,27.3,esa-worldcover-2021
