empriNo,empriCode,name,nameOther,kind,status,statusText,regime,regimeText,district,taluk,hobli,village,lat,lon,latText,lonText,custodian,extentAcres,extentText,extentApprox,extentBasis,surveyNumbers,surveyNoText,year,yearText,rejuvenated,elevationM,maxDepthM,islands,inletDrains,wasteWeirs,sluiceGates,culverts,checkDams,fenceType,surroundingArea,presentStatus,waterUsage,convertedTo,convertedBy,visitDate,researcherVerified,remarks,waterSampled,waterSampleNote,sewageInflowCumecs,vegetationCover,vegetationType,aquaticFlora,fauna,visitingAnimals,encroachmentDirection,encroachedBy,encroachedFor,encroachmentPct,encroachmentKoliwadText,encroachmentKoliwadAcres,dumpingDirection,dumpingType,sewageInflow,pollutant,weeds,otherIssues,pdf,pdfPage,source,tables,coordProblem,fenceTypeText,presentStatusText,waterUsageText,vegetationCoverText,weedsText,vegetationTypeText,aquaticFloraText,faunaText,visitingAnimalsText,convertedByText,encroachedByText,encroachmentDirectionText,dumpingDirectionText,sewageInflowText,surroundingAreaText,convertedToText,encroachedForText,dumpingTypeText,pollutantText,custodianText,atlasCode,atlasName,atlasMiTankRegNo,atlasYearCreated,atlasYearRejuvenated,atlasPreservationAuthority,atlasTotalExtentText,atlasSourceOfWater,atlasUpstream,atlasDownstream,atlasCatchment,atlasRoads,atlasDrinkingWater,atlasWashing,atlasBathing,atlasLivestock,atlasIrrigation,atlasFishing,atlasCultural,atlasRecreation,atlasOtherUses,atlasAmphibians,atlasReptiles,atlasMammals,atlasDirectPollutants,atlasIndirectPollutants,atlasSewageInflowCumecs,atlasEncroachment,atlasSoilExcavation,atlasStrategies,atlasPage
203,BUBNYPpny_ku7-203,Peenya kunte7,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Peenya,13.032028,77.523833,"13° 01' 55.3""","77° 31' 25.8""",BBMP,0.075,≈0.03,True,,106,In Sy no 106,1904,1904,,928.0,,,,,,,,,Industries,,,Industries buildings,private,2016-10-27,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,25,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,Industries,Industries Buildings,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,BUBNYPpny_ku8-204,Peenya kunte8,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Peenya,13.040194,77.526083,"13° 02' 24.7""","77° 31' 33.9""",BBMP,0.3,0.12 (SSLR),False,SSLR,31,In Sy no 31,1904,1904,,925.0,,,,,,,,,Volva factoty,,,Volva industry,private,2016-06-24,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,25,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,Volva Factoty,Volva Industry,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,BUBNYPpny_ku9-205,Peenya kunte9,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Peenya,13.039639,77.523417,"13° 02' 22.7""","77° 31' 24.3""",BBMP,0.15,0.06 (SSLR),False,SSLR,32,In Sy no 32,1904,1904,,916.0,,,,,,,,,"Road, vacantland, volva factory",,,Road,government,2016-06-24,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,25,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government,,,,,"Road,vacantland,volva factory",Road,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,BUBNYPpny_ku10-206,Peenya kunte10,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Peenya,13.040194,77.521694,"13° 02' 24.7""","77° 31' 18.1""",BBMP,0.4,0.16 (SSLR),False,SSLR,13,In Sy no 13,1904,1904,,912.0,,,,,,,,,"Trees, aparment",,,Apartment,private,2016-06-24,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,"Trees, aparment",Apartment,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,BUBNYPpny_ku11-207,Peenya kunte11,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Peenya,13.041639,77.525833,"13° 02' 29.9""","77° 31' 33.0""",BBMP,0.075,≈0.03,True,,30,In Sy no 30,1904,1904,,928.0,,,,,,,,,"Godowns, vacant land, volvo company",,,MSIL building,government,2016-10-27,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government,,,,,"Godowns, Vl., volvo company",MSIL building,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,BUBNYPpyp_ku1-208,Peenya Plantation kunte,HMT Kunte (Unable to visit),kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Peenya Plantation,13.05,77.535361,"13° 03' 00.0""","77° 32' 07.3""",BBMP,0.175,≈0.07,True,,2,In Sy no 2,1904,1904,,935.0,,,,,,,,,Railway track,,,HMT watch factory,government,2016-07-15,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government,,,,,Railway Track,HMT Watch Factory,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,BUBNYPsgv_kr1-209,Saneguruvanahalli Lake-1,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Sane Guruvanahalli,12.990917,77.543667,"12° 59'27.3""",77°32ʹ37. 2ʺ,BDA,12.6,12.24,False,,120,120,1903,1903,,897.0,,,,,,,,,,,,"Park, playground & KSPCB lab building (nisarga bhavana)",BBMP;KSPCB,2015-12-23,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,BBMP & KSPCB,,,,,,"Park, Playground & KSPCB Lab building (Nisarga Bhavana)",,,,BDA,BUBNYPsgv_kr1-,Saneguruvanahalli Lake -2,,≈1903,,BBMP,12.24,,,,Urban NA not applicable,,,,,,,,,,,,,,,,,,,,239
210,BUBNYPsgv_ku2-210,Saneguruvanahalli kunte1,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Sane Guruvanahalli,12.985111,77.548194,"12° 59' 06.4""","77° 32' 53.5""",BDA,0.35,0.14 (SSLR),False,SSLR,116,In Sy no 116,1903,1903,,892.0,,,,,,,,,Buildings,,,Vishnu motors,private,2016-06-30,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,Buildings,Vishnu motors,,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,BUBNYPsgv_kr3-211,Saneguruvanahalli Lake-2,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Sane Guruvanahalli,12.984,77.5295,"12° 59'02.4""",77°31ʹ46. 2ʺ,BDA,6.525,6.21,False,,60,60,1903,1903,,900.0,,,,,,,,,,,,Kempegowda playground,BBMP,2015-12-23,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,BBMP,,,,,,Kempegowda Playground,,,,BDA,BUBNYPsgv_kr3-211,Saneguruvanahalli Lake -1,,≈1903,,BBMP,6.21,,,,Urban,,,,,,,,,,,,,,,,,,,,237
212,BUBNYPsgv_ku4-212,Saneguruvanahalli kunte2,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Sane Guruvanahalli,12.990472,77.530833,"12° 59' 25.7""","77° 31' 51.0""",BDA,0.65,≈0.26,True,,34,In Sy no 34,1903,1903,,902.0,,,,,,,,,Vacant land & buildings,,,Houses,public,2016-06-30,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Public,,,,,Vacant land & Buildings,Houses,,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,BUBNYPsgv_ku5-213,Saneguruvanahalli kunte3,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Sane Guruvanahalli,12.991389,77.532278,"12° 59' 29.0""","77° 31' 56.2""",BDA,0.625,≈0.25,True,,33,In Sy no 33,1903,1903,,892.0,,,,,,,,,Buildings,,,Settlement,public,2016-06-30,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Public,,,,,Buildings,Settlement,,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,BUBNYPsgv_kr6-214,Ayyana Kere,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Sane Guruvanahalli,12.993333,77.529528,"12° 59'36.0""",77°31ʹ46. 3ʺ,BDA,8.825,8.33,False,,31,31,1903,1903,,899.0,,,,,,,,,,,,Houses,BDA,2015-12-23,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,BDA,,,,,,Houses,,,,BDA,BUBNYPsgv_kr6-,Ayyana Kere,,≈1903,,BBMP,8.33,,,,Urban,,,,,,,,,,,,,,,NA quantity of sewage inflow(cumecs) : NA,,,,,241
215,BUBNYPseg_kr1-215,Seegehalli kere,,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Seegahalli,12.976278,77.449222,12° 58ʹ 34.6ʺ,77° 26ʹ 57.2ʺ,ZP,11.925,11.37,False,,79,79,1957,1957,,852.0,3.0,0,4,1,0,0,0,none,"Agriculture, layout, vacant land, brick factory & godowns",muddy,cattle feeding;washing,,,2015-07-15,True,,True,,,partial,growing on bank,,,cattle;sheep;goat,,,,,0.20,0.5,SW;W,Plastic & wood laminates from godowns,,"Agriculture runoff, industrial waste, human defecation & cattle dropping",partial,Soil excavation,vol2_north,26,empri-2018,main;waterQuality;issues;atlas,,No fence,Muddy,Cf & W,Partially,Partial,Growing on Bank,,,"Cattle, S & G",,,,South West & west,,"A, L, Vl, Bf & godowns",,,Pl. & wood laminates from godowns,"Agri.runoff, Industrial waste, H. defecat. & cattle dropping",ZP,BUBNYPseg_kr1-215,Seegehalli Kere,,≈1957,,ZP,11.37,"Rainfall, settlement runoff",,,Peri urban,3+2 mud,,Yes,,Yes,,,,,,,,"Cattle, sheep, goat","Cattle droppings & human defecation, dumping of plastic & wood laminate wastes (industrial wastes) on the lake bank",Agriculture runoff & storm water drains from layout,No Flow through Storm water drain,,,Dumping of wastes: Fence the lake and create awareness,243
216,BUBNYPseg_ku2-216,Seegehalli kunte,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Seegahalli,12.974333,77.451278,12° 58ʹ 27.6ʺ,77° 27ʹ 04.6ʺ,ZP,0.775,0.31 (SSLR),False,SSLR,16,In Sy no 16,1957,1957,,,,,,,,,,,"Coconut plantation, agriculture & vacant land",,,Bare land due to agriculture activity,farmers,2015-07-15,True,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Farmers,,,,,"Coconut plant., Agri. & vacant land",Bare land due to Agri. activity,,,,ZP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,BUBNYPsty_ku1-217,Settyhalli kunte1,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Settyhalli,13.059139,77.52125,"13° 03' 32.9""","77° 31' 16.5""",BDA,0.775,≈0.31,True,,9,In Sy no 9,1929,1929,,909.0,,,,,,,,,"Vacantland, trees",,,Air force,government,2016-06-27,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government,,,,,"Vacantland,trees",Air force,,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,BUBNYPsty_ku2-218,Settyhalli kunte2,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Settyhalli,13.063444,77.515639,"13° 03' 48.4""","77° 30' 56.3""",BDA,0.575,0.23,False,,21,21,1929,1929,,897.0,,,,,,,,,"Houses, vacant land",,,School & houses,government;public,2016-06-27,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Govt. & Publ.,,,,,"Houses, Vacant land",School & Houses,,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,BUBNYPsid_ku1-219,Sidedahalli kunte,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Sidedanahalli,13.062556,77.493667,"13° 03' 45.2""","77° 29' 37.2""",BBMP,0.075,0.03 (SSLR),False,SSLR,22,In Sy no 22,1904,1904,,860.0,,,,,,,,,"Vacant land, temple, park, buid., government school",,,Vacant land & buildings,public,2016-07-15,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Public,,,,,"Vl., temple, Park, Buid., Govt.School,",Vacant land & Buildings,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,BUBNYPsgk_gk1-220,Srigandha kavalu kunte1,,katte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Srigandhadakavalu,12.989611,77.511639,"12° 59' 22.6""","77° 30' 41.9""",BDA,1.7,≈1.28,True,,62;63,In Sy no 62 & 63,1869,1869,,899.0,,,,,,,,,"Factories, buildings, unani Institute",,,Vacant land (national Institute of unani medicine),government,2016-07-01,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,26,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government,,,,,"Factories, Build., unani Institute",Vacant land (National Institute of unani medicine),,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,BUBNYPsgk_ku2-221,Srigandha kavalu kunte2,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Srigandhada kavalu,12.988083,77.513306,"12° 59' 17.1""","77° 30' 47.9""",BDA,0.8,≈0.32,True,,62,In Sy no 62,1869,1869,,897.0,,,,,,,,,"Unani Institute, magadi road",,,National inst. unani medicine,government,2016-07-01,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,27,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government,,,,,"Unani Institute, Magadi road",National Inst. Unani medicine,,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,BUBNYPsgk_ku3-222,Srigandha kavalu kunte3,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Srigandhada kavalu,12.973472,77.498333,"12° 58' 24.5""","77° 29' 54.0""",BDA,0.4,0.16 (SSLR),False,SSLR,25,In Sy no 25,1869,1869,,864.0,,,,,,,,,"Buildings, vacant land, road, shops",,,"Buildings, vacant land & road",private;public,2016-07-01,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,27,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Priv. & Public,,,,,"Build., Vl., Road, Shops","Buildings, Vacant land & Road",,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,BUBNYPsgk_ku4-223,Srigandha kavalu kunte4,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Srigandhada kavalu,12.973361,77.497056,"12° 58' 24.1""","77° 29' 49.4""",BDA,0.2,≈0.08,True,,24,In Sy no 24,1869,1869,,867.0,,,,,,,,,"Buildings, main road",,,Vacant land & road,public,2016-07-01,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,27,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Public,,,,,"Buildings, Main Road",Vacant land & Road,,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,BUBNYPsgk_gk5-224,Srigandha kavalu kunte5,,katte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Srigandhada kavalu,12.983056,77.501139,"12° 58'59.0""",77°30ʹ04. 1ʺ,BDA,1.3,≈1.12,True,,42,In Sy no 42,1869,1869,,882.0,,,,,,,,,"Srigandhak. lake, factory, buildings",,,Vacant land & nalla,unknown,2016-07-01,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,27,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Unknown,,,,,"Srigandhak. lake, Factory, Buildings",Vacant land & nalla,,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,BUBNYPsgk_kr6-225,Srigandha kavalu Karabu Katte,,kere,existing,Seasonal,seasonal,Seasonal,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Srigandhada kavalu,12.984472,77.501083,"12°59'04. 1""",77°30ʹ03. 9ʺ,BDA,6.825,6.33,False,,15,15,1869,1869,,885.0,3.0,0,0,0,0,0,0,mesh,Settlement & baren land,clean,cattle feeding,,,2015-12-31,False,,False,Dry,,partial,growing on bank,emergent;free floating,fish;birds;butterflies;dragonflies,cow,NE,Sri Amma Bhaghwan Dhyana Mandir;public,Building & road,0.1,0.10,0.25,N;W;NE,"Construction debris, garbage & burned wastes",,,,,vol2_north,27,empri-2018,main;waterQuality;issues;atlas,,Mesh,Clean water,Cattle feeding,Partially,,Growing on Bank,E & Free Floating,"F, B, Bt. & D.fly",Cow,,Sri Amma Bhaghwan Dhyana Mandir & Public,NE,"N, W, N & NE",,S & Baren land,,Building & Road,"CD, G & Burned wastes",,BDA,BUBNYPsgk_kr6-225,Srigandhakavalu Karabu Katte,,≈1869,,BDA,6.33,Rain & drain,,Srigandhakavalu Katte,Urban,2 mud,,,,Yes,,,,,,,,Cow,"Dumping of construction debris, garbage dump & burning wastes",Runoff,,"Sri amma bhaghwan Trust, filter water unit - building & road (0.1%)",,Dumping of Wastes: Fence the lake and create awareness;Encroachment: Survey by the consent Authority & evict the encroachment,245
226,BUBNYPsgk_ku7-226,Srigandha kavalu kunte6,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Srigandhada kavalu,12.987917,77.500194,"12° 59' 16.5""","77° 30' 00.7""",BDA,0.1,0.04,False,,12,In Sy no 12,1869,1869,,906.0,,,,,,,,,"Temple, vacant land",,,Vacant land,unknown,2016-07-01,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,27,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Unknown,,,,,"Temple, Vacant land",Vacant land,,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,BUBNYPsgk_gk8-227,Srigandha kavalu kunte7,,katte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Srigandhada kavalu,12.991417,77.508972,"12° 59' 29.1""","77° 30' 32.3""",BDA,1.25,≈1.10,True,,49,In Sy no 49,1869,1869,,912.0,,,,,,,,,"Factories, buildings",,,Vacant land & factories,private,2016-07-01,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,27,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,"Factories, Buildings",Vacant land & Factories,,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,BUBNYPsgk_ku9-228,Srigandha kavalu kunte8,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Srigandhada kavalu,12.9955,77.506556,"12° 59' 43.8""","77° 30' 23.6""",BDA,0.525,≈0.21,True,,83,In Sy no 83,1869,1869,,928.0,,,,,,,,,"Vacant land, buildings, school",,,Vacant land & playground,public,2016-07-01,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,27,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Public,,,,,"Vacant land, Buildings, School",Vacant land & Playground,,,,BDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,BUBNYPsms_ku1-229,Somashettihalli Kunte,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Soma Shettyhalli,13.088694,77.513528,13° 05ʹ19.3ʺ,77° 30ʹ48.7ʺ,BBMP,0.325,0.13 (SSLR),False,SSLR,8,In Sy no 8,1951,1951,,884.0,,,,,,,,,Coconut plantation & vacant land,,,Agriculture,farmers,2015-07-20,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,27,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Farmers,,,,,Coconut plant. & vacant land,Agriculture,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,BUBNYPulu_kr1-230,Ullalu lake-1,Ullalu Chickere,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Ullalu,12.97025,77.482778,"12° 58'12.9""",77°28ʹ58. 0ʺ,BBMP,6.075,6.03,False,,49,49,1970,1970,,854.0,,,,,,,,,"Coconutplant., layout, commerical building & houses",,,Park & building,BDA,2015-12-23,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,27,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,BDA,,,,,"Coconutplant.,Layout, Commerical buliding & houses",Park & building,,,,BBMP,BUBNYPulu_kr1-,Ullalu Lake 1,,≈1970,,BBMP,6.03,,,,Peri urban NA not applicable,,,,,,,,,,,,,,,,,,,,247
231,BUBNYPulu_ku2-231,Ullalu kunte1,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Ullalu,12.960333,77.485417,"12° 57' 37.2""","77° 29' 07.5""",BBMP,0.05,≈0.02,True,,61,In Sy no 61,1970,1970,,839.0,,,,,,,,,"Upkar layout, buildings",,,Vacant land,BDA,2016-06-25,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,27,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,BDA,,,,,"Upkar Layout, Build.",Vacant land,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,BUBNYPulu_kr3-232,Ullalu lake-2,,kere,existing,Perennial (R),perennial,Perennial (R),Bengaluru Urban,Bengaluru North,Yeshwanthpura,Ullalu,12.963583,77.480222,"12° 57'48.9""",77°28ʹ48. 8ʺ,BDA,24.3,24.12,False,,93,93,1970,1970,True,840.0,4.0,2,3,1,2,2,,mesh,Layout,polluted,boating;religious activity,,,2015-12-23,False,,True,,,partial,growing on bank,emergent,snails;birds;butterflies;dragonflies;reptiles,,W,government,Road,0.1,0.35,0.875,NW;N,"Garbage, construction debris & plastic waste",NW;NE,Sewage,partial,,vol2_north,27,empri-2018,main;waterQuality;issues;atlas,,Mesh,Polluted,Boating & Relig. activity,Partially,Partial,Growing on Bank,Emerg.,"Snail, B, Bt., D.fly & Reptiles",,,Government,West,"NW, N & NW",NW & NE,Layout,,Road,"G, CD & Plastic waste",Sewage,BDA,BUBNYPulu_kr3-232,Ullalu Lake 2,,≈1970,≈2011,BDA,24.12,Rain & drain fed,Herohalli lake-6,Valagerahalli kere,Peri urban,2 mud,,,,,,,,,,,"Lizard, Indian cobra",,"Dumping of construction debris, garbage dump & plastic wastes",Sewage,Unable to Measure due to weeds,Road (0.1%),,Sewage inflow: Provide UGD and connect to STP;Dumping of Construction debris Garbage waste: Fence the lake and create awareness,249
233,BUBNYPulu_ku4-233,Ullalu kunte2,Gokatte,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Ullalu,12.949444,77.472806,"12° 56' 58.0""","77° 28' 22.1""",BBMP,0.25,0.10,False,,184,In Sy no 184,1970,1970,,824.0,,,,,,,,,Layout,,,Layout,private,2016-06-25,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,27,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,Layout,Layout,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,BUBNYPulu_ku5-234,Ullalu kunte3,Govt Gokatte,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Yeshwanthpura,Ullalu,12.951667,77.473361,"12° 57' 06.0""","77° 28' 24.1""",BBMP,0.625,0.25,False,,190,In Sy no 190,1970,1970,,836.0,,,,,,,,,Layout,,,Layout,private,2016-06-25,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,27,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,Layout,layout,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,BUBNYHagh_kr1-235,Agrahara Lake,,kere,existing,Perennial (R),perennial,Perennial (R),Bengaluru Urban,Bengaluru North,Yelahanka,Agarahara,13.090333,77.623889,"13°05'25. 2""",77°37ʹ26. 0ʺ,BBMP,15.85,15.34,False,,33,33,1904,1904,True,909.0,3.0,1,3,1,0,2,0,mesh,"Agriculture, P & hallow brick factory",polluted,none,,,2016-01-02,False,,True,,,partial,growing on bank,emergent,birds,cattle,,,,,0.07,0.175,,,,,,,vol2_north,28,empri-2018,main;waterQuality;issues;atlas,,Mesh,Polluted Puddle,No,Partial,,Growing on Bank,Emergent,Birds,Cattle,,,,,,"A, P & Hallow Brick Factory",,,,,BBMP,,Agrahara Lake,,≈1904,2014,77°37ʹ26.0ʺ BBMP,,Rainfall & drain,Thirumenahalli Kere,Jakkuru Kere,Urban,1 mud,,,,,,,,Yes,,,,Cattle,,Sewage,No flow through Storm water drain,,,Sewage inflow: Upgrade the existing STP,251
236,BUBNYHals_kr1-236,Allasandra Lake,,kere,existing,Perennial (R),perennial,Perennial (R),Bengaluru Urban,Bengaluru North,Yelahanka,Allalsandra,13.089028,77.5885,"13°05'20. 5""",77°35ʹ18. 6ʺ,BBMP,41.575,41.23,False,,15,15,1914,1914,True,923.0,5.0,2,5,1,0,0,0,mesh,Settlement & apartment,stp water,recreation,,,2016-01-02,False,,True,,,partial,growing on bank,emergent,birds,,NE;S,government,"Building, road, slum houses, graveyard & vacant land",5,4.23,4.575,,,NW,Sewage,,,vol2_north,28,empri-2018,main;waterQuality;issues;atlas,,Mesh,STP water,Recreational,Partial,,Growing on Bank,Emergent,Birds,,,Govt.,NE & S,,NW,S & Apartment,,"Building, road, slum houses, graveyard & vacant land",,Sewage,BBMP,BUBNYHals_kr1-236,Allalsandra Lake,,≈1914,2009,BBMP,41.23,Rain & drain,,Jakkuru Kere,Urban,1 mud,,,,,,,,Yes,,,,Cattle,,Sewage,No flow through Storm water drain,"Building, road, slum houses, graveyard & vacant land (5%)",,Sewage Inflow: Upgrade the existing STP;Encroachment: Evict the encroachment,253
