empriNo,empriCode,name,nameOther,kind,status,statusText,regime,regimeText,district,taluk,hobli,village,lat,lon,latText,lonText,custodian,extentAcres,extentText,extentApprox,extentBasis,surveyNumbers,surveyNoText,year,yearText,rejuvenated,elevationM,maxDepthM,islands,inletDrains,wasteWeirs,sluiceGates,culverts,checkDams,fenceType,surroundingArea,presentStatus,waterUsage,convertedTo,convertedBy,visitDate,researcherVerified,remarks,waterSampled,waterSampleNote,sewageInflowCumecs,vegetationCover,vegetationType,aquaticFlora,fauna,visitingAnimals,encroachmentDirection,encroachedBy,encroachedFor,encroachmentPct,encroachmentKoliwadText,encroachmentKoliwadAcres,dumpingDirection,dumpingType,sewageInflow,pollutant,weeds,otherIssues,pdf,pdfPage,source,tables,coordProblem,fenceTypeText,presentStatusText,waterUsageText,vegetationCoverText,weedsText,vegetationTypeText,aquaticFloraText,faunaText,visitingAnimalsText,convertedByText,encroachedByText,encroachmentDirectionText,dumpingDirectionText,sewageInflowText,surroundingAreaText,convertedToText,encroachedForText,dumpingTypeText,pollutantText,custodianText,atlasCode,atlasName,atlasMiTankRegNo,atlasYearCreated,atlasYearRejuvenated,atlasPreservationAuthority,atlasTotalExtentText,atlasSourceOfWater,atlasUpstream,atlasDownstream,atlasCatchment,atlasRoads,atlasDrinkingWater,atlasWashing,atlasBathing,atlasLivestock,atlasIrrigation,atlasFishing,atlasCultural,atlasRecreation,atlasOtherUses,atlasAmphibians,atlasReptiles,atlasMammals,atlasDirectPollutants,atlasIndirectPollutants,atlasSewageInflowCumecs,atlasEncroachment,atlasSoilExcavation,atlasStrategies,atlasPage
16,BUBNBKbtp_gk1-16,Byataryapura Lake,,katte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Byatryanapura,12.951444,77.550083,12°57ʹ05. 2ʺ,77°33ʹ00. 3ʺ,BBMP,2.35,2.14,False,,33,33,1903,1903,,855.0,,,,,,,,,Park & buildings,,,Houses and park,public;BBMP,2015-12-15,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,12,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Public & BBMP,,,,,Park & Buildings,Houses and Park,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BUBNBKbtp_ku2-17,Byataryapura Kunte,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Byatryanapura,12.945278,77.540083,"12° 56' 43.0""","77° 32' 24.3""",BBMP,0.625,≈0.25,True,,4,4,1903,1903,,856.0,,,,,,,,,Buildings,,,"Buildings, vacant land & sheds",public,2016-09-08,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,12,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Public,,,,,Buildings,"Buildings, Vacant land & Sheds",,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BUBNBKckm_kr1-18,Cihkkamaranahalli Lake,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Chikkamaranahalli,13.034306,77.570306,13°02ʹ 03.5ʺ,77°34ʹ 13.1ʺ,BBMP,43.2,43.08,False,,43 (Chikkamara nahalli);19 (Geddalahalli);75 (Nagashettyhalli),"43 (Chikkamara nahalli), 19 (Geddalahalli) & 75 (Nagashettyhalli)",1905,1905,,910.0,,,,,,,,,Buildings,,,Settlement & ISRO,government,2016-12-14,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,12,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Government,,,,,Buildings,Settlement & ISRO,,,,BBMP,BUBNBKckm_kr1-18,Chikkamaranahalli Kere,,≈1905,,BBMP,43.08,,,,Urban,,,,,,,,,,,,,,,,,Dollars colony & ISRO building,,,111
19,BUBNBKdvj_kr1-19,Devara Jeevanahalli Lake,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Devara Jeevanahalli,13.010389,77.605778,13°00ʹ37. 4ʺ,77°36ʹ20. 8ʺ,BBMP,14.325,14.13,False,,22,22,1927,1927,,921.0,,,,,,,,,,,,Government urdu model primary girls school playground & buildings,government;public,2015-12-14,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,12,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Government & public,,,,,,Govt. Urdu model Primary Girls School Playground & Buildings,,,,BBMP,BUBNBKdvj_kr1-19,Devara Jeevanahalli Kere,,≈1927,,BBMP,14.13,,,,Urban,,,,,,,,,,,,,,,,,Government urdu model primary girls school playground & buildings,,,113
20,BUBNBKduh_kr1-20,Dandu Upparahalli Kere,Millers Tank,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Dondu Upparahalli,12.992722,77.5945,"12° 59' 33.8""","77° 35' 40.2""",BBMP,13.05,(SSLR) 13.02,False,SSLR,2,2,1890,≈1890,,944.0,,,,,,,,,"Buildings, playground & temple",,,"Mount carmel coll. play ground, buildings, temple & road",private;government,2016-09-03,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,12,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Pvt. & Govt.,,,,,"Buildings, playground & Temple","Mount Carmel Coll. Play ground, Build., Temple & Rd.",,,,BBMP,BUBNBKduh_kr1-20,Dandu Upparahalli Kere,,≈1890,,BBMP,13.02,,,,Urban,,,,,,,,,,,,,,,,,"Mount carmel collage play ground, buildings, temple & road",,,115
21,BUBNBKduh_ku2-21,Dokkanahalli kunte,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Dokkanahalli,12.970944,77.640556,"12° 58' 15.4""","77° 38' 26.0""",BBMP,0.825,0.33,False,,4,In Sy no 4,1903,1903,,914.0,,,,,,,,,Buildings,,,Buildings & commercial shops,public,2016-08-31,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,12,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Public,,,,,Buildings,Buildings & Commercial Shops,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BUBNBKdok_gk1-22,Dodkunte kunte1,,katte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Dodkunte,13.001,77.627583,"13° 00' 03.6""","77° 37' 39.3""",BBMP,1.475,(SSLR) 1.19,False,SSLR,100,100,1907,1907,,930.0,,,,,,,,,"Buildings, park & BWSSB off.",,,Church & buildings,private,2016-08-31,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,12,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,"Build., Park & BWSSB off.",Church & Buildings,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BUBNBKdok_ku2-23,Dodkunte kunte2,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Dodkunte,12.997111,77.628444,"12° 59' 49.6""","77° 37' 42.4""",BBMP,0.1,0.04,False,,118;121,In Sy no 118 & 121,1907,1907,,925.0,,,,,,,,,Buildings,,,Government telugu school,government,2016-08-31,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,12,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government,,,,,Buildings,Govt. Telugu School,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BUBNBKdok_ku3-24,Dodkunte kunte3,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Dodkunte,13.002472,77.616417,"13° 00' 08.9""","77° 36' 59.1""",BBMP,0.1,0.04,False,,69,In Sy no 69,1907,1907,,929.0,,,,,,,,,"Urban & buildings, school, railway stat.",,,Church,private,2016-08-31,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,12,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,"Urban & Buildings, School, Railway Stat.",Church,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BUBNBKdok_ku4-25,Dodkunte kunte4,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Dodkunte,13.003361,77.622,"13° 00' 12.1""","77° 37' 19.2""",BBMP,0.025,0.01,False,,78,In Sy no 78,1907,1907,,930.0,,,,,,,,,Buildings,,,Buildings,private,2016-08-31,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,12,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,Buildings,Buildings,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BUBNBKdrb_ku1-26,Doddakunte Rudrabhomi kunte,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Dodkunte Ruthrabhoomi,12.9945,77.630222,"12° 59' 40.2""","77° 37' 48.8""",BBMP,0.15,0.06,False,,6,In Sy no 6,1958,1958,,915.0,,,,,,,,,"Buildings, playground & railway track",,,Buildings,public,2016-09-17,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,12,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Public,,,,,"Buildings, playground & Railway Track",Buildings,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BUBNBKdml_kr1-27,Domluru Kere,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Domluru,12.968583,77.633056,"12° 58' 06.9""","77° 37' 59.0""",BBMP,38.825,38.33,False,,9 (Domluru);13 (Dokkanahalli),9 (Domluru) & 13 (Dokkanahalli),1904,1904,,905.0,,,,,,,,,"Buildings, ISRO housing Colony",,,ISRO housing Colony & Defence Colony,government,2016-08-31,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,12,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Government,,,,,"Build., ISRO Housing Colony",ISRO Housing Colony & Defence Colony,,,,BBMP,BUBNBKdml_kr1-27,Domluru Kere,,≈1904,,BBMP,38.33,,,,Urban,,,,,,,,,,,,,,,,,ISRO housing Colony & Defence Colony,,,117
28,BUBNBKgvp_gk1-28,Gavipura Kunte-1,,katte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Gavipura,12.950389,77.563472,"12° 57' 01.4""","77° 33' 48.5""",BBMP,1.65,1.26,False,,68,In Sy no 68,1904,1904,,894.0,,,,,,,,,Buildings,,,"Slum board, vacant land & road",government,2016-09-08,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,13,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government,,,,,Buildings,"Slum Board, V.land & Road",,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,BUBNBKgvp_ku2-29,Gavipura Kunte-2,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Gavipura,12.936056,77.556194,"12° 56' 09.8""","77° 33' 22.3""",BBMP,0.5,0.20,False,,42,In Sy no 42,1904,1904,,895.0,,,,,,,,,Buildings & temple,,,Buildings,public,2016-09-08,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,13,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Public,,,,,Buildings& Temple,Buildings,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,BUBNBKgvp_gk3-30,Gavipura Lake,,katte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Gavipura,12.951444,77.550083,12°57ʹ05. 2ʺ,77°33ʹ00. 3ʺ,BBMP,2.725,2.29,False,,18,18,1904,1904,,855.0,,,,,,,,,Park & buildings,,,Park and houses,BBMP,2015-12-15,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,13,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,BBMP,,,,,Park & Buildings,Park and Houses,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,BUBNBKgdh_gk1-31,Geddalahalli Kunte,,katte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Geddalahalli,13.026333,77.580278,"13° 01' 34.8""","77° 34' 49.0""",BBMP,1.2,1.08,False,,41,In Sy no 41,1905,1905,,940.0,,,,,,,,,Buildings & shops,,,"Government school, vacant land, road, hillton motors & Car service center",government;public,2016-09-03,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,13,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Government & Public,,,,,Buildings & Shops,"Govt. School, Vl., Road, Hillton Motors & Car service center",,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BUBNBKgdh_kr1-32,Geddalahalli Lake,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Geddalahalli,13.030139,77.574667,13°01ʹ48. 5ʺ,77°34ʹ28. 8ʺ,BBMP,21.45,21.18,False,,3,3,1905,1905,,927.0,,,,,,,,,Buildings & graveyard,,,Buildings & graveyard,BDA,2015-12-14,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,13,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,BDA,,,,,Buildings & Graveyard,Buildings & Graveyard,,,,BBMP,BUBNBKgdh_kr1-32,Geddalahalli Kere,,≈1905,,BBMP,21.18,,,,Urban,,,,,,,,,,,,,,,,,"Houses, graveyard",,,119
