dataset,stationId,stationCode,stationName,sampleLocation,date,lat,lon,parameter,value,qualifier,belowDetection,detectionLimit,unit,statistic,rawValue,source
dmg-2011,andrahalli-kere-inlet,,Andrahalli kere,Inlet,2011,,,dissolvedOxygen,92,,false,,mg/L,,92,dmg-2011
dmg-2011,andrahalli-kere-inlet,,Andrahalli kere,Inlet,2011,,,cod,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,andrahalli-kere-inlet,,Andrahalli kere,Inlet,2011,,,nitrate,6.25,,false,,mg/L as NO3,,6.25,dmg-2011
dmg-2011,andrahalli-kere-inlet,,Andrahalli kere,Inlet,2011,,,totalHardness,588,,false,,mg/L as CaCO3,,588,dmg-2011
dmg-2011,andrahalli-kere-inlet,,Andrahalli kere,Inlet,2011,,,fluoride,3.51,,false,,mg/L,,3.51,dmg-2011
dmg-2011,andrahalli-kere-inlet,,Andrahalli kere,Inlet,2011,,,ph,8.34,,false,,,,8.34,dmg-2011
dmg-2011,andrahalli-kere-inlet,,Andrahalli kere,Inlet,2011,,,zinc,0.14,,false,,mg/L,,0.14,dmg-2011
dmg-2011,andrahalli-kere-inlet,,Andrahalli kere,Inlet,2011,,,lead,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,andrahalli-kere-inlet,,Andrahalli kere,Inlet,2011,,,copper,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,andrahalli-kere-inlet,,Andrahalli kere,Inlet,2011,,,manganese,0.82,,false,,mg/L,,0.82,dmg-2011
dmg-2011,andrahalli-kere-inlet,,Andrahalli kere,Inlet,2011,,,aluminium,2.46,,false,,mg/L,,2.46,dmg-2011
dmg-2011,andrahalli-kere-inlet,,Andrahalli kere,Inlet,2011,,,eColi,160000,,false,,MPN/100mL,,160000,dmg-2011
dmg-2011,andrahalli-kere-inlet,,Andrahalli kere,Inlet,2011,,,totalColiform,160000,,false,,MPN/100mL,,160000,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,chloride,258,,false,,mg/L,,258,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,phosphate,0.2,,false,,mg/L as P,,0.2,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,tss,191,,false,,mg/L,,191,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,dissolvedOxygen,6.8,,false,,mg/L,,6.8,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,cod,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,nitrate,7.07,,false,,mg/L as NO3,,7.07,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,totalHardness,596,,false,,mg/L as CaCO3,,596,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,fluoride,3.94,,false,,mg/L,,3.94,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,ph,8.18,,false,,,,8.18,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,zinc,0.15,,false,,mg/L,,0.15,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,lead,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,copper,0.01,,false,,mg/L,,0.01,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,manganese,0.68,,false,,mg/L,,0.68,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,aluminium,2.42,,false,,mg/L,,2.42,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,eColi,160000,,false,,MPN/100mL,,160000,dmg-2011
dmg-2011,andrahalli-kere-outlet,,Andrahalli kere,Outlet,2011,,,totalColiform,160000,,false,,MPN/100mL,,160000,dmg-2011
dmg-2011,anjanapura-kere-inlet,,Anjanapura kere,Inlet,2011,,,chloride,190,,false,,mg/L,,190,dmg-2011
dmg-2011,anjanapura-kere-inlet,,Anjanapura kere,Inlet,2011,,,phosphate,0.2,,false,,mg/L as P,,0.2,dmg-2011
dmg-2011,anjanapura-kere-inlet,,Anjanapura kere,Inlet,2011,,,tss,67.5,,false,,mg/L,,67.5,dmg-2011
dmg-2011,anjanapura-kere-inlet,,Anjanapura kere,Inlet,2011,,,dissolvedOxygen,6.2,,false,,mg/L,,6.2,dmg-2011
dmg-2011,anjanapura-kere-inlet,,Anjanapura kere,Inlet,2011,,,cod,40.00,,false,,mg/L,,40.00,dmg-2011
dmg-2011,anjanapura-kere-inlet,,Anjanapura kere,Inlet,2011,,,nitrate,4.715,,false,,mg/L as NO3,,4.715,dmg-2011
dmg-2011,anjanapura-kere-inlet,,Anjanapura kere,Inlet,2011,,,totalHardness,224,,false,,mg/L as CaCO3,,224,dmg-2011
dmg-2011,anjanapura-kere-inlet,,Anjanapura kere,Inlet,2011,,,fluoride,0.54,,false,,mg/L,,0.54,dmg-2011
dmg-2011,anjanapura-kere-inlet,,Anjanapura kere,Inlet,2011,,,ph,8.12,,false,,,,8.12,dmg-2011
dmg-2011,anjanapura-kere-inlet,,Anjanapura kere,Inlet,2011,,,zinc,0.17,,false,,mg/L,,0.17,dmg-2011
dmg-2011,anjanapura-kere-inlet,,Anjanapura kere,Inlet,2011,,,lead,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,anjanapura-kere-inlet,,Anjanapura kere,Inlet,2011,,,copper,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,anjanapura-kere-inlet,,Anjanapura kere,Inlet,2011,,,manganese,0.24,,false,,mg/L,,0.24,dmg-2011
dmg-2011,arakere-inlet,,Arakere,Inlet,2011,,,tss,5740,,false,,mg/L,,5740,dmg-2011
dmg-2011,arakere-inlet,,Arakere,Inlet,2011,,,dissolvedOxygen,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,arakere-inlet,,Arakere,Inlet,2011,,,nitrate,5.46,,false,,mg/L as NO3,,5.46,dmg-2011
dmg-2011,arakere-inlet,,Arakere,Inlet,2011,,,fluoride,0.43,,false,,mg/L,,0.43,dmg-2011
dmg-2011,arakere-inlet,,Arakere,Inlet,2011,,,ph,8.06,,false,,,,8.06,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,chloride,44.9,,false,,mg/L,,44.9,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,phosphate,0.05,,false,,mg/L as P,,0.05,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,tss,39,,false,,mg/L,,39,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,dissolvedOxygen,6,,false,,mg/L,,6,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,cod,,,true,,mg/L,,nil,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,nitrate,7.74,,false,,mg/L as NO3,,7.74,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,totalHardness,164,,false,,mg/L as CaCO3,,164,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,fluoride,0.37,,false,,mg/L,,0.37,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,ph,8.17,,false,,,,8.17,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,zinc,0.05,,false,,mg/L,,0.05,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,lead,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,copper,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,manganese,0.21,,false,,mg/L,,0.21,dmg-2011
dmg-2011,arehalli-sanna-kere-i-inlet,,Arehalli sanna kere I,Inlet,2011,,,chromium,0.05,,false,,mg/L,,0.05,dmg-2011
dmg-2011,arehalli-sanna-kere-ii-inlet,,Arehalli sanna kere II,Inlet,2011,,,chloride,45,,false,,mg/L,,45,dmg-2011
dmg-2011,arehalli-sanna-kere-ii-inlet,,Arehalli sanna kere II,Inlet,2011,,,phosphate,2.06,,false,,mg/L as P,,2:06,dmg-2011
dmg-2011,arehalli-sanna-kere-ii-inlet,,Arehalli sanna kere II,Inlet,2011,,,tss,13,,false,,mg/L,,13,dmg-2011
dmg-2011,arehalli-sanna-kere-ii-inlet,,Arehalli sanna kere II,Inlet,2011,,,dissolvedOxygen,12.8,,false,,mg/L,,12.8,dmg-2011
dmg-2011,arehalli-sanna-kere-ii-inlet,,Arehalli sanna kere II,Inlet,2011,,,cod,,,true,,mg/L,,Nil,dmg-2011
