dataset,stationId,stationCode,stationName,sampleLocation,date,lat,lon,parameter,value,qualifier,belowDetection,detectionLimit,unit,statistic,rawValue,source
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-07-07,13.0802,77.614667,cod,101.7,,false,,mg/L,,101.7,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-07-07,13.0802,77.614667,dissolvedCod,29.1,,false,,mg/L,,29.1,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-07-07,13.0802,77.614667,phosphate,0.3,,false,,mg/L,,0.3,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-08-03,13.083533,77.6096,temperature,26.9,,false,,degC,,26.9,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-08-03,13.083533,77.6096,ph,8.78,,false,,,,8.78,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-08-03,13.083533,77.6096,conductivity,974,,false,,uS/cm,,974,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-08-03,13.083533,77.6096,orp,,,false,,mV,,-,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-08-03,13.083533,77.6096,dissolvedOxygen,11.8,,false,,mg/L,,11.8,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-08-03,13.083533,77.6096,nitrate,52.8,,false,,mg/L,,52.8,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-08-03,13.083533,77.6096,fecalColiform,2000,,false,,MPN/100mL,,2.0E+03,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-08-03,13.083533,77.6096,tss,30,,false,,mg/L,,30,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-08-03,13.083533,77.6096,bod,21.5,,false,,mg/L,,21.5,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-08-03,13.083533,77.6096,dissolvedBod,14,,false,,mg/L,,14,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-08-03,13.083533,77.6096,cod,79.4,,false,,mg/L,,79.4,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-08-03,13.083533,77.6096,dissolvedCod,49.6,,false,,mg/L,,49.6,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-08-03,13.083533,77.6096,phosphate,1.2,,false,,mg/L,,1.2,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-08-03,13.09235,77.607283,temperature,26.4,,false,,degC,,26.4,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-08-03,13.09235,77.607283,ph,7.57,,false,,,,7.57,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-08-03,13.09235,77.607283,conductivity,1116,,false,,uS/cm,,1116,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-08-03,13.09235,77.607283,orp,,,false,,mV,,-,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-08-03,13.09235,77.607283,dissolvedOxygen,1,,false,,mg/L,,1,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-08-03,13.09235,77.607283,nitrate,57.64,,false,,mg/L,,57.64,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-08-03,13.09235,77.607283,fecalColiform,14000,,false,,MPN/100mL,,1.4E+04,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-08-03,13.09235,77.607283,tss,20,,false,,mg/L,,20,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-08-03,13.09235,77.607283,bod,8.5,,false,,mg/L,,8.5,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-08-03,13.09235,77.607283,dissolvedBod,5.6,,false,,mg/L,,5.6,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-08-03,13.09235,77.607283,cod,69.4,,false,,mg/L,,69.4,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-08-03,13.09235,77.607283,dissolvedCod,39.7,,false,,mg/L,,39.7,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-08-03,13.09235,77.607283,phosphate,2.3,,false,,mg/L,,2.3,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-08-03,13.094333,77.607667,temperature,28.4,,false,,degC,,28.4,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-08-03,13.094333,77.607667,ph,7.80,,false,,,,7.80,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-08-03,13.094333,77.607667,conductivity,1008,,false,,uS/cm,,1008,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-08-03,13.094333,77.607667,orp,,,false,,mV,,-,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-08-03,13.094333,77.607667,dissolvedOxygen,3,,false,,mg/L,,3,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-08-03,13.094333,77.607667,nitrate,13.2,,false,,mg/L,,13.2,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-08-03,13.094333,77.607667,fecalColiform,79000,,false,,MPN/100mL,,7.9E+04,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-08-03,13.094333,77.607667,tss,40,,false,,mg/L,,40,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-08-03,13.094333,77.607667,bod,20.0,,false,,mg/L,,20.0,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-08-03,13.094333,77.607667,dissolvedBod,8.4,,false,,mg/L,,8.4,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-08-03,13.094333,77.607667,cod,69.4,,false,,mg/L,,69.4,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-08-03,13.094333,77.607667,dissolvedCod,49.6,,false,,mg/L,,49.6,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-08-03,13.094333,77.607667,phosphate,1.2,,false,,mg/L,,1.2,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-08-03,13.094333,77.607667,temperature,26.1,,false,,degC,,26.1,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-08-03,13.094333,77.607667,ph,7.26,,false,,,,7.26,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-08-03,13.094333,77.607667,conductivity,1142,,false,,uS/cm,,1142,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-08-03,13.094333,77.607667,orp,,,false,,mV,,-,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-08-03,13.094333,77.607667,dissolvedOxygen,0,,false,,mg/L,,0,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-08-03,13.094333,77.607667,nitrate,78.32,,false,,mg/L,,78.32,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-08-03,13.094333,77.607667,fecalColiform,390000,,false,,MPN/100mL,,3.9E+05,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-08-03,13.094333,77.607667,tss,60,,false,,mg/L,,60,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-08-03,13.094333,77.607667,bod,47.0,,false,,mg/L,,47.0,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-08-03,13.094333,77.607667,dissolvedBod,12.8,,false,,mg/L,,12.8,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-08-03,13.094333,77.607667,cod,89.3,,false,,mg/L,,89.3,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-08-03,13.094333,77.607667,dissolvedCod,59.5,,false,,mg/L,,59.5,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-08-03,13.094333,77.607667,phosphate,3.0,,false,,mg/L,,3.0,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-08-03,13.0802,77.614667,temperature,28.6,,false,,degC,,28.6,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-08-03,13.0802,77.614667,ph,9.00,,false,,,,9.00,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-08-03,13.0802,77.614667,conductivity,980,,false,,uS/cm,,980,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-08-03,13.0802,77.614667,orp,,,false,,mV,,-,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-08-03,13.0802,77.614667,dissolvedOxygen,16,,false,,mg/L,,16,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-08-03,13.0802,77.614667,nitrate,25.08,,false,,mg/L,,25.08,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-08-03,13.0802,77.614667,fecalColiform,33000,,false,,MPN/100mL,,3.3E+04,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-08-03,13.0802,77.614667,tss,40,,false,,mg/L,,40,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-08-03,13.0802,77.614667,bod,19.0,,false,,mg/L,,19.0,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-08-03,13.0802,77.614667,dissolvedBod,10,,false,,mg/L,,10,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-08-03,13.0802,77.614667,cod,84.3,,false,,mg/L,,84.3,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-08-03,13.0802,77.614667,dissolvedCod,49.6,,false,,mg/L,,49.6,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-08-03,13.0802,77.614667,phosphate,3.0,,false,,mg/L,,3.0,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-09-28,13.083533,77.6096,temperature,26.5,,false,,degC,,26.5,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-09-28,13.083533,77.6096,ph,8.75,,false,,,,8.75,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-09-28,13.083533,77.6096,conductivity,865,,false,,uS/cm,,865,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-09-28,13.083533,77.6096,orp,-112,,false,,mV,,-112,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-09-28,13.083533,77.6096,dissolvedOxygen,12.50,,false,,mg/L,,12.50,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-09-28,13.083533,77.6096,nitrate,8.80,,false,,mg/L,,8.80,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-09-28,13.083533,77.6096,fecalColiform,9200,,false,,MPN/100mL,,9.2E+03,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-09-28,13.083533,77.6096,tss,60,,false,,mg/L,,60,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-09-28,13.083533,77.6096,bod,20.5,,false,,mg/L,,20.5,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-09-28,13.083533,77.6096,dissolvedBod,10.8,,false,,mg/L,,10.8,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-09-28,13.083533,77.6096,cod,72.0,,false,,mg/L,,72.0,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-09-28,13.083533,77.6096,dissolvedCod,,,false,,mg/L,,-,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-09-28,13.083533,77.6096,phosphate,0.9,,false,,mg/L,,0.9,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-09-28,13.09235,77.607283,temperature,26.6,,false,,degC,,26.6,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-09-28,13.09235,77.607283,ph,7.64,,false,,,,7.64,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-09-28,13.09235,77.607283,conductivity,733,,false,,uS/cm,,733,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-09-28,13.09235,77.607283,orp,-49,,false,,mV,,-49,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-09-28,13.09235,77.607283,dissolvedOxygen,1.60,,false,,mg/L,,1.60,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-09-28,13.09235,77.607283,nitrate,4.84,,false,,mg/L,,4.84,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-09-28,13.09235,77.607283,fecalColiform,33000,,false,,MPN/100mL,,3.3E+04,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-09-28,13.09235,77.607283,tss,60,,false,,mg/L,,60,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-09-28,13.09235,77.607283,bod,7.9,,false,,mg/L,,7.9,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-09-28,13.09235,77.607283,dissolvedBod,4.6,,false,,mg/L,,4.6,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-09-28,13.09235,77.607283,cod,30.9,,false,,mg/L,,30.9,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-09-28,13.09235,77.607283,dissolvedCod,,,false,,mg/L,,-,jakkur-2015
jakkur-2015,jakkur-lake-jk-2,JK-2,Jakkur Lake,Wetland Outlet point,2015-09-28,13.09235,77.607283,phosphate,1.7,,false,,mg/L,,1.7,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-09-28,13.094333,77.607667,temperature,26.9,,false,,degC,,26.9,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-09-28,13.094333,77.607667,ph,7.72,,false,,,,7.72,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-09-28,13.094333,77.607667,conductivity,900,,false,,uS/cm,,900,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-09-28,13.094333,77.607667,orp,54,,false,,mV,,54,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-09-28,13.094333,77.607667,dissolvedOxygen,1.10,,false,,mg/L,,1.10,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-09-28,13.094333,77.607667,nitrate,5.72,,false,,mg/L,,5.72,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-09-28,13.094333,77.607667,fecalColiform,79000,,false,,MPN/100mL,,7.9E+04,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-09-28,13.094333,77.607667,tss,40,,false,,mg/L,,40,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-09-28,13.094333,77.607667,bod,11.3,,false,,mg/L,,11.3,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-09-28,13.094333,77.607667,dissolvedBod,5.6,,false,,mg/L,,5.6,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-09-28,13.094333,77.607667,cod,51.4,,false,,mg/L,,51.4,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-09-28,13.094333,77.607667,dissolvedCod,,,false,,mg/L,,-,jakkur-2015
jakkur-2015,jakkur-lake-jk-3,JK-3,Jakkur Lake,Jakkur lake STP outlet point,2015-09-28,13.094333,77.607667,phosphate,2.7,,false,,mg/L,,2.7,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-09-28,13.094333,77.607667,temperature,27.1,,false,,degC,,27.1,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-09-28,13.094333,77.607667,ph,7.27,,false,,,,7.27,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-09-28,13.094333,77.607667,conductivity,519,,false,,uS/cm,,519,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-09-28,13.094333,77.607667,orp,-29,,false,,mV,,-29,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-09-28,13.094333,77.607667,dissolvedOxygen,2.10,,false,,mg/L,,2.10,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-09-28,13.094333,77.607667,nitrate,3.96,,false,,mg/L,,3.96,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-09-28,13.094333,77.607667,fecalColiform,250000,,false,,MPN/100mL,,2.5E+05,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-09-28,13.094333,77.607667,tss,40,,false,,mg/L,,40,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-09-28,13.094333,77.607667,bod,8.0,,false,,mg/L,,8.0,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-09-28,13.094333,77.607667,dissolvedBod,6.6,,false,,mg/L,,6.6,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-09-28,13.094333,77.607667,cod,20.6,,false,,mg/L,,20.6,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-09-28,13.094333,77.607667,dissolvedCod,,,false,,mg/L,,-,jakkur-2015
jakkur-2015,jakkur-lake-jk-4,JK-4,Jakkur Lake,Raw sewage point,2015-09-28,13.094333,77.607667,phosphate,1.1,,false,,mg/L,,1.1,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-09-28,13.0802,77.614667,temperature,25.3,,false,,degC,,25.3,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-09-28,13.0802,77.614667,ph,9.04,,false,,,,9.04,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-09-28,13.0802,77.614667,conductivity,860,,false,,uS/cm,,860,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-09-28,13.0802,77.614667,orp,-129,,false,,mV,,-129,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-09-28,13.0802,77.614667,dissolvedOxygen,12.80,,false,,mg/L,,12.80,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-09-28,13.0802,77.614667,nitrate,14.52,,false,,mg/L,,14.52,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-09-28,13.0802,77.614667,fecalColiform,6100,,false,,MPN/100mL,,6.1E+03,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-09-28,13.0802,77.614667,tss,60,,false,,mg/L,,60,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-09-28,13.0802,77.614667,bod,23.0,,false,,mg/L,,23.0,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-09-28,13.0802,77.614667,dissolvedBod,9.2,,false,,mg/L,,9.2,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-09-28,13.0802,77.614667,cod,61.7,,false,,mg/L,,61.7,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-09-28,13.0802,77.614667,dissolvedCod,,,false,,mg/L,,-,jakkur-2015
jakkur-2015,jakkur-lake-jk-6,JK-6,Jakkur Lake,Jakkur lake outlet point I,2015-09-28,13.0802,77.614667,phosphate,0.9,,false,,mg/L,,0.9,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,temperature,24.6,,false,,degC,,24.6,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,colour,,,false,,Hazen,,40-30,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,ph,8.10,,false,,,,8.10,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,conductivity,904,,false,,uS/cm,,904,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,orp,-76,,false,,mV,,-76,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,dissolvedOxygen,6.80,,false,,mg/L,,6.80,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,nitrate,14.52,,false,,mg/L,,14.52,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,totalAlkalinity,249,,false,,mg/L,,249,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,fecalColiform,1400,,false,,MPN/100mL,,1.4E+03,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,tss,50,,false,,mg/L,,50,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,bod,33.1,,false,,mg/L,,33.1,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,dissolvedBod,6.2,,false,,mg/L,,6.2,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,cod,100.4,,false,,mg/L,,100.4,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,dissolvedCod,30.1,,false,,mg/L,,30.1,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,phosphate,0.6,,false,,mg/L,,0.6,jakkur-2015
jakkur-2015,jakkur-lake-jk-1,JK-1,Jakkur Lake,Main gate water Runoff point,2015-12-09,13.083533,77.6096,nitrateAcidPreserved,18.04,,false,,mg/L,,18.04,jakkur-2015
