source,mapId,villageCode,district,districtName,taluk,hobli,village,surveyNumber,surveyNumbers,mapImageUrl,imageFile,imageMissing,listPage,listRow
landrecords-lake-survey,18591110,18591,BENGALURU,Bengaluru Urban,BANGALORE-NORTH,DASANAPURA2,KADABAGERE,110,110,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c18591110.jpg,,True,116,18
landrecords-lake-survey,18591179,18591,BENGALURU,Bengaluru Urban,BANGALORE-NORTH,DASANAPURA2,KADABAGERE,179,179,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c18591179.jpg,,True,116,19
landrecords-lake-survey,1859122,18591,BENGALURU,Bengaluru Urban,BANGALORE-NORTH,DASANAPURA2,KADABAGERE,22,22,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1859122.jpg,data/cache/landrecords_lakes/images/scanimages/1859122.jpg,False,117,0
landrecords-lake-survey,1859176,18591,BENGALURU,Bengaluru Urban,BANGALORE-NORTH,DASANAPURA2,KADABAGERE,76,76,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1859176.jpg,data/cache/landrecords_lakes/images/scanimages/1859176.jpg,False,117,1
landrecords-lake-survey,1977826,19778,Bangalore Rural,Bengaluru Rural,Doddaballapura,SASALU,KADABYADARAHALLI,26,26,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1977826.jpg,data/cache/landrecords_lakes/images/scanimages/1977826.jpg,False,117,2
landrecords-lake-survey,197785,19778,Bangalore Rural,Bengaluru Rural,Doddaballapura,SASALU,KADABYADARAHALLI,5,5,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c197785.jpg,data/cache/landrecords_lakes/images/scanimages/197785.jpg,False,117,3
landrecords-lake-survey,1933531,19335,BENGALURU,Bengaluru Urban,Bangalore North(Additional),JALA2,KADAGANAHALLI,31,31,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1933531.jpg,data/cache/landrecords_lakes/images/scanimages/1933531.jpg,False,117,4
landrecords-lake-survey,190223,19022,BENGALURU,Bengaluru Urban,Anekal,SARJAPURA2,KADAGRAHARA,3,3,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c190223.jpg,data/cache/landrecords_lakes/images/scanimages/190223.jpg,False,117,5
landrecords-lake-survey,1902248,19022,BENGALURU,Bengaluru Urban,Anekal,SARJAPURA2,KADAGRAHARA,48,48,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1902248.jpg,data/cache/landrecords_lakes/images/scanimages/1902248.tif,False,117,6
landrecords-lake-survey,1921954,19219,BENGALURU,Bengaluru Urban,Bangalore-East,Bidharahalli3,KADAGRAHARA,54,54,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1921954.jpg,data/cache/landrecords_lakes/images/scanimages/1921954.jpg,False,117,7
landrecords-lake-survey,1977714,19777,Bangalore Rural,Bengaluru Rural,Doddaballapura,SASALU,KADALAPPANAHALLI,14,14,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1977714.jpg,data/cache/landrecords_lakes/images/scanimages/1977714.jpg,False,117,8
landrecords-lake-survey,197776,19777,Bangalore Rural,Bengaluru Rural,Doddaballapura,SASALU,KADALAPPANAHALLI,6,6,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c197776.jpg,data/cache/landrecords_lakes/images/scanimages/197776.jpg,False,117,9
landrecords-lake-survey,1977762,19777,Bangalore Rural,Bengaluru Rural,Doddaballapura,SASALU,KADALAPPANAHALLI,62,62,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1977762.jpg,data/cache/landrecords_lakes/images/scanimages/1977762.jpg,False,117,10
landrecords-lake-survey,1977764,19777,Bangalore Rural,Bengaluru Rural,Doddaballapura,SASALU,KADALAPPANAHALLI,64,64,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1977764.jpg,data/cache/landrecords_lakes/images/scanimages/1977764.jpg,False,117,11
landrecords-lake-survey,1981214,19812,Bangalore Rural,Bengaluru Rural,Doddaballapura,MADURE,KADANURU,14,14,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1981214.jpg,data/cache/landrecords_lakes/images/scanimages/1981214.jpg,False,117,12
landrecords-lake-survey,19812145,19812,Bangalore Rural,Bengaluru Rural,Doddaballapura,MADURE,KADANURU,145,145,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c19812145.jpg,data/cache/landrecords_lakes/images/scanimages/19812145.jpg,False,117,13
landrecords-lake-survey,19812195,19812,Bangalore Rural,Bengaluru Rural,Doddaballapura,MADURE,KADANURU,195,195,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c19812195.jpg,data/cache/landrecords_lakes/images/scanimages/19812195.jpg,False,117,14
landrecords-lake-survey,19812217,19812,Bangalore Rural,Bengaluru Rural,Doddaballapura,MADURE,KADANURU,217,217,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c19812217.jpg,data/cache/landrecords_lakes/images/scanimages/19812217.jpg,False,117,15
landrecords-lake-survey,19812234,19812,Bangalore Rural,Bengaluru Rural,Doddaballapura,MADURE,KADANURU,234,234,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c19812234.jpg,data/cache/landrecords_lakes/images/scanimages/19812234.jpg,False,117,16
landrecords-lake-survey,1981230,19812,Bangalore Rural,Bengaluru Rural,Doddaballapura,MADURE,KADANURU,30,30,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1981230.jpg,data/cache/landrecords_lakes/images/scanimages/1981230.jpg,False,117,17
