qid,labelEn,labelKn,aliasesEn,aliasesKn,description,lat,lon,instanceOf,instanceOfQids,enwiki,knwiki,image,commonsCategory,osmRelation,osmWay,areaM2,inception,geonamesId,heritageStatus,possibleDuplicateOf,source
Q49703388,,,,,,13.034167,77.627778,intermittent reservoir,Q55470036,,,,,,,,,10854629,,,wikidata-2026-09
Q49703394,,,,,,13.216944,77.634722,intermittent reservoir,Q55470036,,,,,,,,,10854360,,,wikidata-2026-09
Q49703397,,,,,,13.219167,77.866389,intermittent reservoir,Q55470036,,,,,,,,,10855036,,,wikidata-2026-09
Q49703409,,,,,,13.221111,77.583889,intermittent reservoir,Q55470036,,,,,,,,,10854342,,,wikidata-2026-09
Q49703417,,,,,,13.219167,77.663056,intermittent reservoir,Q55470036,,,,,,,,,10854358,,,wikidata-2026-09
Q49703440,,,,,,13.369444,77.196111,intermittent reservoir,Q55470036,,,,,,,,,10851621,,,wikidata-2026-09
Q49703448,,,,,,13.213611,77.347222,intermittent reservoir,Q55470036,,,,,,,,,10853110,,,wikidata-2026-09
Q49703460,,,,,,13.035278,77.937778,intermittent reservoir,Q55470036,,,,,,,,,10855199,,,wikidata-2026-09
Q49703486,,,,,,13.014167,77.83,intermittent reservoir,Q55470036,,,,,,,,,10855122,,,wikidata-2026-09
Q49703490,,,,,,13.438056,77.336667,intermittent reservoir,Q55470036,,,,,,,,,10852770,,,wikidata-2026-09
Q49703502,,,,,,13.097778,77.874167,intermittent reservoir,Q55470036,,,,,,,,,10855326,,,wikidata-2026-09
Q49703505,,,,,,13.045,77.611389,intermittent reservoir,Q55470036,,,,,,,,,10854618,,,wikidata-2026-09
Q49703540,,,,,,13.325,77.538611,intermittent reservoir,Q55470036,,,,,,,,,10854156,,,wikidata-2026-09
Q49703576,,,,,,13.009444,77.573889,intermittent reservoir,Q55470036,,,,,,,,,10854681,,,wikidata-2026-09
Q49703609,,,,,,13.168611,77.587778,intermittent reservoir,Q55470036,,,,,,,,,10854437,,,wikidata-2026-09
Q77264259,Jakkur Lake,ಜಕ್ಕೂರು ಕೆರೆ,,,among the biggest lakes in Bangalore,13.084881,77.609428,lake,Q23397,Jakkur Lake,,"Jakkur lake, Bangalore (2025) 04.jpg",Jakkur Lake,,,,,,,Q34892258,wikidata-2026-09
Q104841470,Yelahanka Lake,,,,body of water,13.111389,77.595278,lake,Q23397,Yelahanka Lake,,,,,,,,,,Q34936517,wikidata-2026-09
