osmId,name,nameKn,place,lat,lon,source
node/10272690520,Madeshwara Nagara,ಮಾದೇಶ್ವರ ನಗರ,neighbourhood,12.9920653,77.4944741,osm-places-2026-09
node/10272690521,Prasanna Layout,,neighbourhood,12.9974648,77.4970838,osm-places-2026-09
node/10272690522,Hosahalli Golarapalya,,neighbourhood,12.9936752,77.4779731,osm-places-2026-09
node/10272690523,Bharathnagar,ಭಾರತನಗರ,quarter,12.9801263,77.4784076,osm-places-2026-09
node/10272690554,Hegganahalli,ಹೆಗ್ಗನಹಳ್ಳಿ,quarter,13.0035647,77.5127828,osm-places-2026-09
node/10272690555,Kareemsab Nagar,,neighbourhood,12.9983586,77.5123483,osm-places-2026-09
node/10272690597,GKW Layout,,neighbourhood,13.0082322,77.5130081,osm-places-2026-09
node/10272871664,Jogappa Layout,,neighbourhood,13.0400678,77.6100019,osm-places-2026-09
node/10273711475,Pattadevarapalya,ಪಟ್ಟದೇವರಪಾಳ್ಯ,hamlet,13.44756,77.2955668,osm-places-2026-09
node/10273711477,Chaudappanapalya,,hamlet,13.4463704,77.2785509,osm-places-2026-09
node/10273711478,Tirukanapalya,,hamlet,13.4544833,77.2764748,osm-places-2026-09
node/10273711549,Hanumantapura,ಹನುಮಂತಪುರ,hamlet,13.4457756,77.2480488,osm-places-2026-09
node/10273711550,Chennamuddanahalli,ಚನ್ನಮುದ್ದನಹಳ್ಳಿ,hamlet,13.436165,77.1979612,osm-places-2026-09
node/10273711551,Malleyanapalya,ಮಲ್ಲೇನಪಾಳ್ಯ,hamlet,13.4371772,77.1939567,osm-places-2026-09
node/10273711552,Annadanashastripalya,,hamlet,13.4408765,77.1884018,osm-places-2026-09
node/10273711691,Setupalya,ಸೇತುಪಾಳ್ಯ,hamlet,13.3935857,77.2062492,osm-places-2026-09
node/10293686956,Gandhi Bazaar,,neighbourhood,12.9457868,77.5706743,osm-places-2026-09
node/10293831865,Maruthi Seva Nagar,ಮಾರುತಿ ಸೇವನಗರ,neighbourhood,13.00317,77.6326118,osm-places-2026-09
node/10293831866,Vivekananda Nagar,ವಿವೇಕಾನಂದ ನಗರ,neighbourhood,13.0044245,77.6280454,osm-places-2026-09
node/10293831867,Doddigunta,,neighbourhood,12.9926115,77.6225898,osm-places-2026-09
node/10293831873,Heerachand Layout,,neighbourhood,12.9959308,77.6266855,osm-places-2026-09
node/10293847376,Income Tax Layout,,neighbourhood,12.9972923,77.6563266,osm-places-2026-09
node/10293847385,Krishnaiahnapalya,,neighbourhood,12.9972741,77.6527619,osm-places-2026-09
node/10293847386,Old Baiyappanahalli,ಹಳೆ ಬೈಯಪ್ಪನಹಳ್ಳಿ,neighbourhood,12.9943495,77.6409334,osm-places-2026-09
node/10293847397,Jeevanahalli,ಜೀವನಹಳ್ಳಿ,neighbourhood,12.996409,77.6289225,osm-places-2026-09
node/10293847431,Kathalipalya,ಕತಾಳಿಪಾಳ್ಯ,neighbourhood,12.9922626,77.6381761,osm-places-2026-09
node/10295524807,Jakkasandra Block,,neighbourhood,12.9288251,77.6303011,osm-places-2026-09
node/10295532281,Sidhartha Colony,,neighbourhood,12.9230999,77.620393,osm-places-2026-09
node/10296378588,Agara,ಅಗರ,neighbourhood,12.9221405,77.6479366,osm-places-2026-09
