"Name of the lake","Extent in Hect","Sample Location","CI","PO-P","TSS","DO","COD","NO3","TH","F","pH","Zn","pb","Cu","Mn","Al","Cr","EC MPN/100 ml","TC MPN/ 100 ml","","",""
"Jakkur kere","","Outlet","316","0.11","4.5","6.2","","7.78","516","0.46","8.33","0.05","Nil","Nil","0.047","","","","","","",""
"Janardhankere","1.57","Inlet","185","0.01","728.5","5.8","38.40","3.31","312","0.68","8.43","0.05","","Nil","0.07","","","","","","",""
"Jatiigarahalli kere","","Outlet","19.6","0.01","93.5","","Nil","4.20","44","0.35","9.92","0.12","Nil","Nil","0.17","","","","","","",""
"Jattigarahalli kere","2.46","Inlet","16.8","0.01","12","4","Nil","","48","0.34","9.52","0.10","Nil","Nil","0.09","","","","","","",""
"Jimkenahalli Kere","2.35","Inlet","129","0.01","32","","40.00","4.29","144","0.41","8.49","0.13","Nil","Nil","0.23","","","","","","",""
"JP Park (Mattikere)","","Inlet","151","Nil","69","3.6","37.76","3.47","172","0.61","8.45","0.17","Nil","Nil","0.76","","","160000","160000","","",""
"JP Park (Mattikere)","33.9","Outlet","154","Nil","4.5","","37.76","3.81","184","0.63","8.74","0.18","Nil","Nil","0.40","","","","","","",""
"Kalena Agrahara kere","2.06","Inlet","109","0.01","27","10.8","20.00","2.397","200","0.34","8.13","0.12","Nil","Nil","0.35","","","","","","",""
"Kalkere Agara Kere","63.37","Inlet","204","2","2.5","1.4","37 76","7.23","340","0.42","7.63","0.13","Nil","0.04","0.21","","","1600","1600","","",""
"Kamgondanahalli Kere (Ragavendra Lyt)","11.94","Inlet.","221","5.11","23","2.4","38.40","5.30","468","0.37","8.11","0.31","Nil","Nil","0.31","","0.05","","","","",""
"Kasavanahalli Kere","15.83","Inlet","230","0.01","175.5","8.2","57.60","3.48","196","0.51","8.51","0.08","Nil","Nil","0.17","","","","","","",""
"Kattiganahalli Kere","8.08","Inlel","61.6","0.01","13","4.4","19.20","4.59","108","0.45","8.42","0.04","Nil","Nil","0.10","","","","","","",""
"Kembathanahalli kere","3.06","Inlet","140","0.21","","","20.00","4.85","164","0.72","7.22","","","","","","","","","","",""
"Kembathnalli kere III","1.79","Inlet","30.8","0.11","","","20.00","63.11","128","0.27","7.21","","","","","","","","","","",""
"Kengeri kere","10.09","Inlet","238","0.2","280","8","113.30","6.54","200","0.71","9.65","0.07","Nil","0.02","0.19","","",">1600",">1600","","",""
"Kodagi Singasandra kere","4.21","Inlet","274","0.01","29","12.2","37.76","6.796","192","0.92","9.14","1.08","Nil","Nil","0.09","","","","","","",""
"Konnapana agrahara","1.88","Inlet","190.4","0.01","9","4.2","Nil","4.83","184","0.68","8.32","0.05","Nil","Nil","Nil","","","","","","",""
"Kottanur kere","6.86","Inlet","199","0 05","7.5","6.2","40.00","2.74","188","0.68","8.35","0.16","Nil","Nil","0.25","","Nil","","","","",""
"KR Puram (BEML)","","Outlet","157","2.55","15","","76.80","4.715","284","0.54","8.19","0.06","Nil","Nil","1.80","","","","","","",""
"KB Purara (BliML)","10.81","Inlet","154","5.11","1.5","4.8","","6.88","272","0.51","8.23","0.08","Nil","Nil","0.20","","","","","","",""
"Kudlu dodda kere","19 79","Inlet","297","2.01","99","","38.40","2.35","248","0.43","8.87","0.14","Nil","Nil","0.22","","","","","","",""
"Kudlu dodda kere","","Outlet","288","2.5","6.723","7.6","480","5.41","284","0.15","9.27","0.09","Nil","Nil","0.07","","","","","","",""
"Kundala Halli Kere","","Outlet","255","0.2","435.5","","","3 03","216","0.64","8.64","0.05","Nil","0.02","0.03","","","","","","",""
"Kundala Halli Kere","","Middle","224","0.5","1590","","18.88","4.74","264","0.34","7.99","0.04","Nil","0.02","0.04","","","","","","",""
"Kundala Halli Kere","9.52","Inlet","224","0.5","865","2.6","0.00","4.96","248","0.33","8.20","0.05","Nil","0.02","0.02","","",">1600",">1600","","",""
"Lalbagh Kere","16 04","Inlet","67","0.01","43.5","4.8","Nil","2.14","136","0.53","9.00","0.05","Nil","Nil","0.03","","","","","","",""
"Lingadeeranahalli kere","1.98","Inlet","16.8","0.2","20.8","4.4","Nil","5.02","172","0.32","7.51","0.06","Nil","Nil","0.45","","","","","","",""
"Lingadeeranahalli kere (Andrahalli)","1.96","Inlet","358","0.2","118","","18.88","7.34","596","4.41","8.26","0.25","Nil","0.01","0.60","1.29","","160000","160000","","",""
"Lingadeeranahalli kere (Andrahalli)","","Outlet","339","","","","","","396","","","0.01","0.01","0.02","0.40","1.13","","","","","",""
"Madivala tank","","Middle","140","0.01","10","","18.88","4.21","212","0.36","8.36","0.06","Nil","Nil","0.12","","","","","","",""
"Madivala tank","","Outlet","151","0.2","6","","56.64","5.06","204","0.37","7.37","0.07","Nil","Nil","0.11","","","","","","",""
"Madivala tank","94.7","Inlet","112","1","265","Nil","227.00","15.83","220","0.36","7.16","0.50","Nil","0.08","0.24","","","160000","160000","","",""
"Mailasandra kere (Sunakal palya kere)","","Outlet","67.2","0.05","45","","18.88","8.08","92","0.90","0.30","0 06","Nil","0.01","0.24","","","","","","",""
"Mangammana palya kere","1.97","inlet","372.4","0.05","71","12.2","153.60","13.30","144","1.23","8.99","0.05","Nil","Nil","0.11","","","","","","",""
"Munnekolalu Kere","","Outlet","207","1","159","","56.64","5.29","266","0.31","7.49","0.17","Nil","0.04","0.13","","","","","","",""
"Munnekolalu Kere","4.1","Inlet","168","0.4","127","1.2","37.76","15.68","296","0.31","7.69","0.21","Nil","0.04","0.12","","",">1600",">1600","","",""
"Nagarabhavi kere","1.17","Inlet","36.4","0.05","77","4","19.20","18.70","204","0.38","7.37","0.05","Nil","Nil","0.54","","","","","","",""
"Nagasandra Here","13.07","Inlet","378","5.01","363","Nil","153.60","7.48","612","0.32","7.37","0.26","0.27","Nil","0.60","","","","","","",""
"Nagavara Kere (Lumbini Garden)","","Outlet","207","0.05","6","","Nil","4.17","180","0.56","7.89","0.05","0.02","0.02","0.12","1.24","","","","","",""
